base_symbol,shortName,open_BA,bid_BA,ask_BA,open_D_BA,bid_D_BA,ask_D_BA,volume_BA,volume_D_BA,MEP,USD/ARS ask,USD/ARS bid
AMGN,,23220.0,22774.5,23074.5,,,,257.0,,,,
ANF,,57092.0,45000.0,53149.5,,,,0.0,,,,
ARCO,,16500.0,15255.0,15546.5,,,,193.0,,,,
ASR,,10089.0,8664.5,8860.0,,,,0.0,,,,
AVY,,7899.0,7760.0,7889.0,,,,6.0,,,,
BB,,1057.0,941.0,1050.0,,,,2265.0,,,,
BBVA,,7172.0,6417.0,6595.0,,,,1975.0,,,,
BCS,,5651.0,5403.0,5520.0,,,,73.0,,,,
BHP,,25988.0,23600.0,23995.0,,,,0.0,,,,
BIIB,,18000.0,15707.5,18000.0,,,,0.0,,,,
BK,,17578.0,17261.5,17640.5,,,,29.0,,,,
BNG,,17220.0,16900.5,17094.0,,,,215.0,,,,
BRFS,,5600.5,5371.5,6000.0,,,,821.0,,,,
BSBR,,4947.0,4485.0,4562.0,,,,353.0,,,,
C,,11700.0,10761.5,10792.0,,,,1648.0,,,,
CAAP,,41600.0,38000.0,39040.0,,,,279.0,,,,
CAH,,27974.5,25601.5,26678.5,,,,4.0,,,,
CAR,,5523.5,5391.5,5492.0,,,,2.0,,,,
CDE,,2250.0,2093.0,2139.0,,,,1141.0,,,,
CL,,21200.0,20198.5,20540.0,,,,141.0,,,,
COST,,10400.0,9555.5,9700.0,,,,174.0,,,,
CRM,,10192.0,8902.5,9188.0,,,,316.0,,,,
CX,,5079.0,4969.5,5087.0,,,,219.0,,,,
DD,,14322.0,11877.0,13100.0,,,,0.0,,,,
DEO,,22400.0,21329.0,21631.0,,,,56.0,,,,
DOCU,,1512.0,1482.5,1497.0,,,,43.0,,,,
DOW,,6912.0,6601.0,6680.5,,,,284.0,,,,
E,,6739.0,6742.0,6861.5,,,,4.0,,,,
EBR,,26572.0,22417.5,23039.5,,,,0.0,,,,
EFX,,8800.5,8549.5,8677.0,,,,505.0,,,,
ERIC,,2038.5,1705.0,1881.5,,,,403.0,,,,
FCX,,10200.0,9405.5,9567.0,,,,447.0,,,,
FDX,,20290.0,19483.5,19826.0,,,,55.0,,,,
FMX,,13649.5,13834.5,14046.5,,,,3.0,,,,
FSLR,,44109.0,42048.0,42757.5,,,,21.0,,,,
GFI,,11479.5,10226.5,11890.0,,,,2.0,,,,
GGB,,15000.0,14076.0,14409.0,,,,158.0,,,,
GLW,,5952.0,5522.5,5612.5,,,,49.0,,,,
GPRK,,8606.0,8096.5,8312.0,,,,12.0,,,,
GRMN,,29700.0,28053.5,28693.0,,,,1.0,,,,
GS,,21000.0,18958.0,19195.0,,,,180.0,,,,
GSK,,7452.5,7500.0,7637.5,,,,3.0,,,,
HD,,8000.0,7293.5,7380.0,,,,191.0,,,,
HDB,,27900.0,23810.0,24213.5,,,,0.0,,,,
HL,,3710.0,3472.5,3534.0,,,,195.0,,,,
HMC,,29900.0,24841.0,27150.0,,,,36.0,,,,
HOG,,9250.0,7863.5,10000.0,,,,0.0,,,,
HON,,19100.0,18572.0,18841.0,,,,3.0,,,,
HPQ,,23000.0,21451.0,22042.0,,,,52.0,,,,
HSBC,,16601.0,15482.0,15932.5,,,,60.0,,,,
HSY,,8236.0,7635.0,7706.5,,,,448.0,,,,
HUT,,10600.0,9550.5,9867.5,,,,6013.0,,,,
HWM,,40646.0,35835.5,0.0,,,,0.0,,,,
IFF,,5154.0,4539.0,4990.0,,,,0.0,,,,
INFY,,13946.0,13497.0,13946.0,,,,3.0,,,,
ING,,4137.0,3498.0,3575.0,,,,0.0,,,,
IP,,7000.0,6852.0,6968.0,,,,11.0,,,,
JD,,11199.0,10502.0,10623.0,,,,877.0,,,,
KMB,,17150.0,16454.0,16732.0,,,,68.0,,,,
KOF,,31972.0,29691.0,30433.5,,,,33.0,,,,
LLY,,66133.0,61225.0,62567.5,,,,70.0,,,,
LRCX,,8900.0,8667.5,8810.0,,,,31.0,,,,
LVS,,22588.0,19684.0,22588.0,,,,8.0,,,,
LYG,,890.0,813.0,847.0,,,,299.0,,,,
MDT,,15000.0,14918.5,15102.5,,,,24.0,,,,
MMC,,10076.5,9787.5,10098.5,,,,1.0,,,,
MOS,,6483.0,5480.0,5980.0,,,,0.0,,,,
MSI,,11790.0,11546.0,11931.5,,,,140.0,,,,
MSTR,,19860.0,17100.0,18500.0,,,,307.0,,,,
MU,,11734.5,11141.5,11332.0,,,,48.0,,,,
NGG,,24751.0,24750.5,25307.0,,,,2.0,,,,
