symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,conversion,x/y mid,x/y ask,x/y bid
V,14209.0,14430.0,13548.0,13955.0,3205.0,BUE,377.0,13900.0,13957.5,2600.0,48,V,18.0,V,base,ARS,VD,14.4,14.5,13.3,14.4,221.0,BUE,23.0,13.5,14.55,4.0,48,V,18.0,D,dolar,USD,V 48h - VD 48h,986.7361111111111,1033.888888888889,955.3264604810996
VALE,7500.0,7885.0,7380.0,7615.0,23688.0,BUE,200.0,7558.0,7616.0,200.0,48,VALE,2.0,E,base,ARS,VALED,8.0,8.08,7.64,7.64,251.0,BUE,28.0,6.98,7.9,47.0,48,VALE,2.0,D,dolar,USD,VALE 48h - VALED 48h,937.5,1091.1174785100286,956.7088607594936
VIST,27501.0,28735.5,27000.0,28426.5,18902.0,BUE,80.0,28202.5,28427.5,3.0,48,VIST,1.0,T,base,ARS,VISTD,29.9,29.9,28.7,29.35,498.0,BUE,9.0,28.75,29.35,32.0,48,VIST,1.0,D,dolar,USD,VIST 48h - VISTD 48h,919.7658862876254,988.7826086956521,960.9028960817717
VZ,17650.0,18458.5,16700.0,18164.0,866.0,BUE,1700.0,18000.5,18171.5,1700.0,48,VZ,2.0,Z,base,ARS,VZD,18.7,18.8,18.0,18.2,38.0,BUE,29.0,18.2,18.8,1.0,48,VZ,2.0,D,dolar,USD,VZ 48h - VZD 48h,943.8502673796792,998.434065934066,957.4734042553191
WBA,8300.0,8500.0,7859.0,8250.0,947.0,BUE,2700.0,8224.0,8280.0,7.0,48,WBA,3.0,A,base,ARS,WBAD,8.6,8.6,8.5,8.5,13.0,BUE,39.0,8.5,9.45,48.0,48,WBA,3.0,D,dolar,USD,WBA 48h - WBAD 48h,965.1162790697675,974.1176470588235,870.2645502645503
WMT,25000.0,25900.0,24529.0,25290.0,6437.0,BUE,2.0,25200.0,25290.0,2.0,48,WMT,6.0,T,base,ARS,WMTD,25.0,26.2,25.0,26.15,155.0,BUE,10.0,25.25,26.0,23.0,48,WMT,6.0,D,dolar,USD,WMT 48h - WMTD 48h,1000.0,1001.5841584158416,969.2307692307693
X,15485.5,15850.0,15164.0,15576.0,2098.0,BUE,180.0,15541.5,15682.5,3680.0,48,X,3.0,X,base,ARS,XD,14.55,14.55,14.55,14.55,9.0,BUE,9.0,15.25,15.25,1.0,48,X,3.0,D,dolar,USD,X 48h - XD 48h,1064.295532646048,1028.360655737705,1019.1147540983607
XLE,39150.0,41000.0,38932.0,40456.0,4000.0,BUE,2700.0,40118.5,40457.5,2.0,48,XLE,2.0,E,base,ARS,XLED,42.6,42.6,41.35,42.3,48.0,BUE,8.0,41.35,42.3,4.0,48,XLE,2.0,D,dolar,USD,XLE 48h - XLED 48h,919.0140845070422,978.415961305925,948.4278959810875
XLF,18500.0,18916.0,17595.5,17974.5,1519.0,BUE,6300.0,17961.0,17974.5,264.0,48,XLF,2.0,F,base,ARS,XLFD,18.9,18.9,18.35,18.45,38.0,BUE,10.0,17.2,18.85,2.0,48,XLF,2.0,D,dolar,USD,XLF 48h - XLFD 48h,978.835978835979,1045.0290697674418,952.8381962864721
XOM,18600.0,19782.0,18600.0,19200.0,4228.0,BUE,51.0,19200.0,19282.0,60.0,48,XOM,5.0,M,base,ARS,XOMD,20.3,20.4,19.5,20.3,78.0,BUE,6.0,19.45,20.6,30.0,48,XOM,5.0,D,dolar,USD,XOM 48h - XOMD 48h,916.256157635468,991.362467866324,932.0388349514562
XP,6298.0,6298.0,6100.0,6236.5,247.0,BUE,430.0,6253.0,6343.5,430.0,48,XP,4.0,P,base,ARS,XPD,6.3,6.3,6.3,6.3,0.0,BUE,3.0,5.55,0.0,0.0,48,XP,4.0,D,dolar,USD,XP 48h - XPD 48h,999.6825396825398,1142.972972972973,inf
ZM,1410.0,1510.0,1410.0,1460.0,2704.0,BUE,4.0,1460.0,1480.0,4.0,48,ZM,47.0,M,base,ARS,ZMD,1.58,1.58,1.5,1.55,0.0,BUE,40.0,1.25,1.52,9.0,48,ZM,47.0,D,dolar,USD,ZM 48h - ZMD 48h,892.4050632911392,1184.0,960.5263157894736
