	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	EWZD	17,700	'0,28	48hs.	19	15,100	17,700	12	-	17,650	16,800	17,700	935	7	15:29:44	
	F	10.120,000	2,22	48hs.	959	10.120,000	10.130,000	10	-	9.900,000	9.544,500	10.500,000	8.541.785	131	15:44:24	
	F.B	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	FC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	FCX	10.951,000	-3,43	48hs.	1	10.960,000	11.500,000	1	-	11.340,000	10.801,500	10.951,000	119.714	3	15:37:05	
	FCXC	-	-	48hs.	-	-	-	-	-	1,766	-	-	-	-		
	FCXD	-	-	48hs.	-	-	16,000	13	-	11,900	-	-	-	-		
	FD	9,710	-	48hs.	13	9,710	10,950	80	-	9,710	9,710	9,710	10	1	13:46:18	
	FDX	24.001,000	-	48hs.	10	24.100,000	24.599,000	13	-	24.000,000	24.000,000	24.680,000	411.348	9	14:05:51	
	FDXB	-	-	48hs.	-	-	-	-	-	5.006,000	-	-	-	-		
	FDXC	-	-	48hs.	-	-	-	-	-	29,288	-	-	-	-		
	FDXD	-	-	48hs.	-	-	25,000	17	-	25,000	-	-	-	-		
	FMCC	-	-	48hs.	-	-	-	-	-	214,000	-	-	-	-		
	FMX	-	-	48hs.	3	17.552,000	-	-	-	16.815,000	-	-	-	-		
	FMX.B	-	-	48hs.	-	-	-	-	-	15.448,000	-	-	-	-		
	FMXC	-	-	48hs.	-	-	-	-	-	'0,884	-	-	-	-		
	FMXD	-	-	48hs.	-	-	39,500	2	-	12,537	-	-	-	-		
	FNMA	-	-	48hs.	-	-	-	-	-	240,000	-	-	-	-		
	FSLR	50.000,000	2,71	48hs.	12	49.000,000	50.000,000	7	-	48.678,000	45.000,000	50.000,000	4.448.599	38	15:43:47	
	FSLRB	-	-	48hs.	-	-	-	-	-	19.783,000	-	-	-	-		
	FSLRC	-	-	48hs.	-	-	-	-	-	110,750	-	-	-	-		
	GE	13.900,000	2,84	48hs.	10	13.900,000	14.000,000	52	-	13.515,500	13.468,000	14.650,000	6.596.331	85	15:46:16	
	GE..B	-	-	48hs.	-	-	-	-	-	12.377,000	-	-	-	-		
	GEC	-	-	48hs.	-	-	-	-	-	13,500	-	-	-	-		
	GED	16,300	8,66	48hs.	23	13,000	16,300	37	-	15,000	16,300	16,500	115	4	15:27:57	
	GED.B	-	-	48hs.	-	-	-	-	-	112,500	-	-	-	-		
	GFI	-	-	48hs.	15	11.788,000	12.856,000	1	-	11.687,500	-	-	-	-		
	GGB	16.700,000	-1,48	48hs.	20	17.000,000	17.620,000	21	-	16.952,500	16.200,500	17.700,000	530.438	6	15:23:41	
	GGBC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	GGBD	-	-	48hs.	5	16,100	-	-	-	18,865	-	-	-	-		
	GILD	19.540,000	5,14	48hs.	3	17.103,000	19.540,000	1	-	18.583,500	18.500,000	19.900,000	2.358.441	37	15:15:22	
	GILDB	-	-	48hs.	-	-	-	-	-	3.526,000	-	-	-	-		
	GILDC	-	-	48hs.	-	-	-	-	-	13,503	-	-	-	-		
	GILDD	-	-	48hs.	5	17,900	-	-	-	22,000	-	-	-	-		
	GLOB	11.152,000	-0,21	48hs.	18	11.152,000	11.262,000	18	-	11.176,000	11.050,000	11.580,000	25.040.784	285	15:46:15	
	GLOBB	-	-	48hs.	-	-	-	-	-	5.165,000	-	-	-	-		
	GLOBC	-	-	48hs.	-	-	-	-	-	12,167	-	-	-	-		
	GLOBD	11,350	-0,87	48hs.	1	11,000	11,500	1	-	11,450	11,350	11,800	496	10	15:12:36	
	GLW	6.400,000	3,71	48hs.	2	6.350,000	6.450,000	25	-	6.170,500	5.792,000	6.500,000	567.659	20	15:29:22	
	GLWC	-	-	48hs.	-	-	-	-	-	2,981	-	-	-	-		
	GM	4.450,000	2,67	48hs.	127	4.350,000	4.386,000	2	-	4.334,000	3.899,000	4.600,000	3.711.057	144	15:42:30	
	GMC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	GMD	-	-	48hs.	10	4,000	5,000	5	-	4,600	-	-	-	-		
	GOGLB	-	-	48hs.	-	-	-	-	-	2.118,000	-	-	-	-		
	GOGLC	-	-	48hs.	-	-	-	-	-	1,885	-	-	-	-		
	GOGLD	2,320	-1,69	48hs.	245	2,320	2,340	30	-	2,360	2,270	2,410	12.247	143	15:40:39	
	GOLD	15.300,000	1,73	48hs.	35	15.320,000	15.400,000	418	-	15.038,500	14.900,000	15.700,000	61.261.024	553	15:45:39	
	GOLDB	-	-	48hs.	-	-	-	-	-	13.059,000	-	-	-	-		
	GOLDC	-	-	48hs.	-	-	-	-	-	16,200	-	-	-	-		
	GOLDD	16,950	4,30	48hs.	108	16,300	16,850	12	-	16,250	15,950	16,950	14.375	33	15:01:40	
	GOOGL	2.265,000	1,86	48hs.	145	2.257,000	2.265,000	10	-	2.223,500	2.201,000	2.400,000	168.802.958	3.510	15:45:54	
	GPRK	8.451,000	-0,59	48hs.	13	8.400,500	8.685,000	1	-	8.502,000	8.265,500	8.700,000	197.244	8	14:50:24	
	GPRKC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	GPRKD	-	-	48hs.	11	9,000	10,950	40	-	10,818	-	-	-	-		
	GRMN	-	-	48hs.	1	33.944,500	38.640,000	1	-	36.800,000	-	-	-	-		
	GRMNC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	GRMND	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	GS	24.030,000	6,74	48hs.	8	23.000,000	24.000,000	3	-	22.511,500	22.518,000	24.199,000	6.087.153	42	15:29:44	
	GSB	-	-	48hs.	-	-	-	-	-	5.391,500	-	-	-	-		
	GSC	-	-	48hs.	-	-	-	-	-	27,204	-	-	-	-		
	GSD	-	-	48hs.	5	14,100	-	-	-	28,600	-	-	-	-		
	GSK	8.820,000	8,56	48hs.	19	8.200,000	8.820,000	108	-	8.124,500	8.200,000	8.851,000	215.817	9	15:40:28	
	GSKC	-	-	48hs.	-	-	-	-	-	8,942	-	-	-	-		
	GSKD	-	-	48hs.	2	8,000	10,500	3	-	8,200	-	-	-	-		
	HAL	17.800,000	-0,88	48hs.	3	16.340,500	17.800,000	2	-	17.959,000	17.800,000	18.000,000	178.800	3	15:32:44	
	HALC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	HALD	-	-	48hs.	10	7,000	-	-	-	22,650	-	-	-	-		
	HD	9.000,000	2,44	48hs.	29	9.000,000	9.087,000	4	-	8.785,500	8.793,000	9.100,000	7.403.631	66	15:32:44	
	HD..B	-	-	48hs.	-	-	-	-	-	555,000	-	-	-	-		
	HDB	-	-	48hs.	-	-	28.000,000	12	-	26.808,000	-	-	-	-		
	HDBC	-	-	48hs.	-	-	-	-	-	6,234	-	-	-	-		
	HDC	-	-	48hs.	-	-	-	-	-	5,069	-	-	-	-		
	HDD	-	-	48hs.	31	8,650	-	-	-	9,000	-	-	-	-		
	HHPD	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	HL	4.610,000	5,17	48hs.	10	4.295,000	4.610,000	14	-	4.383,311	4.036,000	4.610,000	817.554	28	15:09:32	
	HLC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	HLD	-	-	48hs.	-	-	-	-	-	4,600	-	-	-	-		
	HMC	32.250,000	14,15	48hs.	10	26.200,000	32.250,000	12	-	28.250,000	29.000,000	32.500,000	1.228.657	19	15:45:13	
	HMC.C	-	-	48hs.	-	-	-	-	-	31,647	-	-	-	-		
	HMY	5.529,000	6,16	48hs.	2	5.510,000	5.529,000	1	-	5.208,000	5.300,000	5.690,000	15.467.443	367	15:44:24	
	HMY.B	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	HMYC	-	-	48hs.	-	-	-	-	-	3,138	-	-	-	-		
	HMYD	5,310	-1,66	48hs.	43	5,160	5,950	3	-	5,400	5,310	5,400	64	3	11:12:15	
	HOG	9.874,000	3,28	48hs.	1	8.601,000	9.874,500	9	-	9.560,000	9.560,000	9.874,000	58.930	3	14:01:06	
	HON	-	-	48hs.	15	20.600,000	23.850,000	29	-	23.860,000	-	-	-	-		
	HON.B	-	-	48hs.	-	-	-	-	-	5.100,000	-	-	-	-		
	HONC	-	-	48hs.	-	-	-	-	-	1,400	-	-	-	-		
	HOND	-	-	48hs.	-	-	-	-	-	1,124	-	-	-	-		
	HPQ	26.000,000	2,66	48hs.	39	25.410,500	27.772,000	2	-	25.324,500	25.400,500	26.000,000	76.801	3	15:11:05	
	HPQC	-	-	48hs.	-	-	-	-	-	5,038	-	-	-	-		
	HPQD	-	-	48hs.	5	21,000	31,000	5	-	21,000	-	-	-	-		
	HSBC	-	-	48hs.	60	16.653,000	17.600,000	10	-	16.299,000	-	-	-	-		
	HSBCC	-	-	48hs.	-	-	-	-	-	7,865	-	-	-	-		
	HSY	8.700,000	1,75	48hs.	2	8.600,000	8.700,000	36	-	8.550,000	8.250,000	8.849,000	4.900.663	92	15:44:42	
	HSYB	-	-	48hs.	-	-	-	-	-	8.190,000	-	-	-	-		
	HSYC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	HSYD	-	-	48hs.	25	8,600	11,100	1	-	10,950	-	-	-	-		
	HUT	9.149,000	1,98	48hs.	50	9.000,000	9.149,000	28	-	8.970,500	8.700,000	9.590,000	5.321.832	53	15:43:47	
	HUTB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	HUTC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	HUTD	9,000	4,04	48hs.	5	8,200	17,000	37	-	8,650	9,000	9,000	45	1	11:41:49	
	HWM	-	-	48hs.	1	48.888,000	-	-	-	48.800,000	-	-	-	-		
	HWMC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	HWMD	-	-	48hs.	-	-	-	-	-	42,500	-	-	-	-		
	IBM	29.100,000	-1,04	48hs.	1	29.110,000	29.880,000	1	-	29.406,000	28.430,000	30.377,500	18.499.689	220	15:41:24	
	IBM.B	-	-	48hs.	-	-	-	-	-	6.425,500	-	-	-	-		
	IBMC	-	-	48hs.	-	-	-	-	-	18,720	-	-	-	-		
	IBMD	31,900	4,59	48hs.	7	31,900	32,450	5	-	30,500	30,500	31,900	732	5	15:39:27	
	IBN	-	-	48hs.	-	-	-	-	-	20.272,500	-	-	-	-		
	IBNC	-	-	48hs.	-	-	-	-	-	7,304	-	-	-	-		
	IFF	-	-	48hs.	-	-	6.295,000	2	-	6.200,000	-	-	-	-		
	IFFC	-	-	48hs.	-	-	-	-	-	'0,833	-	-	-	-		
	INFY	16.000,000	2,17	48hs.	1	15.900,000	16.000,000	31	-	15.659,000	16.000,000	16.000,000	16.000	1	15:28:24	
	INFYC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	ING	-	-	48hs.	11	3.690,000	-	-	-	4.107,000	-	-	-	-		
	INGC	-	-	48hs.	-	-	-	-	-	3,059	-	-	-	-		
	INGD	-	-	48hs.	-	-	-	-	-	3,229	-	-	-	-		
	INTC	8.112,000	'0,64	48hs.	20	8.113,000	8.190,000	6	-	8.060,000	8.000,000	9.200,000	37.643.049	435	15:43:48	
	INTCB	-	-	48hs.	-	-	-	-	-	3.370,000	-	-	-	-		
	INTCC	-	-	48hs.	-	-	-	-	-	6,875	-	-	-	-		
	INTCD	8,600	1,29	48hs.	25	8,100	8,600	64	-	8,490	8,100	8,630	343	12	15:10:55	
	IP	7.500,000	-	48hs.	1	7.500,000	8.500,000	2	-	7.500,000	7.500,000	7.500,000	15.000	2	15:18:55	
	IPC	-	-	48hs.	-	-	-	-	-	1,779	-	-	-	-		
	IPD	-	-	48hs.	-	-	-	-	-	1,679	-	-	-	-		
	ITUB	5.895,000	3,95	48hs.	59	5.890,000	5.895,000	4	-	5.670,500	5.520,000	5.900,000	257.784	16	15:44:11	
	ITUBB	-	-	48hs.	-	-	-	-	-	1.460,000	-	-	-	-		
	ITUBC	-	-	48hs.	-	-	-	-	-	4,537	-	-	-	-		
	ITUBD	-	-	48hs.	10	5,100	6,600	58	-	6,590	-	-	-	-		
	IWM	17.350,000	3,90	48hs.	7	17.300,500	17.345,000	4	-	16.698,500	16.201,000	17.985,000	8.047.298	74	15:37:43	
	IWMB	-	-	48hs.	-	-	-	-	-	13.340,000	-	-	-	-		
	IWMC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	IWMD	16,500	-2,94	48hs.	36	16,600	18,950	186	-	17,000	16,500	16,500	33	1	14:58:31	
	JCI	-	-	48hs.	-	-	-	-	-	11.879,427	-	-	-	-		
	JCIC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	JD	13.399,000	2,28	48hs.	20	13.395,000	13.399,000	167	-	13.100,000	13.160,000	13.650,000	8.815.689	96	15:44:55	
	JDB	-	-	48hs.	-	-	-	-	-	6.850,000	-	-	-	-		
	JDC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	JDD	-	-	48hs.	2	12,850	14,500	4	-	14,000	-	-	-	-		
	JMIA	3.070,000	5,04	48hs.	210	3.122,000	3.050,000	200	-	2.922,500	2.700,000	3.120,500	9.252.862	125	15:43:29	
	JMIAB	-	-	48hs.	-	-	-	-	-	1.509,000	-	-	-	-		
	JMIAC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	JMIAD	3,450	18,96	48hs.	20	2,600	3,450	233	-	2,900	3,400	3,450	130	2	15:25:15	
	JNJ	10.059,500	1,67	48hs.	2	9.811,000	10.059,500	9	-	9.893,500	9.720,000	10.290,000	32.964.259	501	15:46:01	
	JNJ.B	-	-	48hs.	-	-	-	-	-	8.720,000	-	-	-	-		
	JNJC	-	-	48hs.	-	-	-	-	-	10,462	-	-	-	-		
	JNJD	10,200	-5,55	48hs.	12	10,200	10,300	2	-	10,800	10,200	10,550	601	11	15:31:57	
	JPM	28.100,000	-1,05	48hs.	35	28.150,000	28.660,000	15	-	28.398,500	26.100,000	29.000,000	15.129.241	146	15:42:01	
	JPMB	-	-	48hs.	-	-	-	-	-	7.180,000	-	-	-	-		
	JPMC	-	-	48hs.	-	-	-	-	-	28,760	-	-	-	-		
	JPMD	29,000	-10,49	48hs.	7	28,150	29,750	3	-	32,400	29,000	32,400	1.197	15	15:26:15	
	KB	-	-	48hs.	-	-	-	-	-	18.500,000	-	-	-	-		
	KBD	-	-	48hs.	-	-	-	-	-	19,061	-	-	-	-		
	KEP	-	-	48hs.	1	6.060,000	7.450,000	80	-	6.000,000	-	-	-	-		
	KGC	4.765,000	'0,51	48hs.	23	4.765,000	5.695,000	10	-	4.740,500	4.765,000	4.765,000	9.530	1	15:17:31	
	KMB	-	-	48hs.	1	18.700,000	20.250,000	1	-	17.790,500	-	-	-	-		
	KMBC	-	-	48hs.	-	-	-	-	-	19,580	-	-	-	-		
	KMBD	-	-	48hs.	-	-	-	-	-	22,503	-	-	-	-		
	KO	11.250,000	1,63	48hs.	20	11.245,000	11.250,000	93	-	11.068,500	11.001,000	11.398,000	824.369.560	3.421	15:46:17	
	KO..B	-	-	48hs.	-	-	-	-	-	10.080,000	-	-	-	-		
	KOC	-	-	48hs.	-	-	-	-	-	11,558	-	-	-	-		
	KOC.B	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	KOD	11,400	-2,97	48hs.	58	11,250	11,400	1.398	-	11,750	11,100	11,900	87.811	280	15:44:34	
	KOD.B	-	-	48hs.	-	-	-	-	-	11,550	-	-	-	-		
	KOFM	38.000,000	-1,60	48hs.	1	31.100,000	38.000,000	45	-	38.621,000	38.000,000	38.000,000	418.000	5	15:20:12	
	LLY	69.800,000	3,03	48hs.	20	66.900,500	69.450,000	2	-	67.744,500	66.500,000	70.000,000	5.193.513	44	14:45:25	
	LLYB	-	-	48hs.	-	-	-	-	-	19.864,000	-	-	-	-		
	LLYC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	LLYD	-	-	48hs.	-	-	-	-	-	76,359	-	-	-	-		
	LMT	21.780,000	-0,49	48hs.	1	21.150,500	21.780,000	4	-	21.889,000	20.650,000	21.850,000	3.629.453	52	15:30:43	
	LMTC	-	-	48hs.	-	-	-	-	-	16,010	-	-	-	-		
	LMTD	-	-	48hs.	1	20,000	23,000	17	-	22,500	-	-	-	-		
	LRCX	11.800,000	-0,22	48hs.	30	11.640,000	12.000,000	2	-	11.826,500	10.800,000	12.348,500	1.555.677	24	15:40:16	
	LRCXC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	LRCXD	-	-	48hs.	10	5,300	-	-	-	10,100	-	-	-	-		
	LVS	-	-	48hs.	5	21.300,000	-	-	-	22.360,000	-	-	-	-		
	LYG	1.000,000	'0,55	48hs.	7.483	1.000,000	1.010,000	120	-	994,500	945,000	1.010,000	622.513	101	15:45:12	
	LYGC	-	-	48hs.	-	-	-	-	-	19,405	-	-	-	-		
	MA	11.600,000	'0,71	48hs.	1	11.305,000	11.799,000	31	-	11.518,000	11.129,500	12.180,000	4.964.978	121	15:43:54	
	MAB	-	-	48hs.	-	-	-	-	-	2.855,000	-	-	-	-		
	MAC	-	-	48hs.	-	-	-	-	-	11,116	-	-	-	-		
	MAD	11,300	-2,58	48hs.	34	11,250	12,400	6	-	11,600	11,300	11,500	505	5	13:46:14	
	MBG	-	-	48hs.	-	-	-	-	-	3.807,209	-	-	-	-		
	MBGB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MBGC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	MBGD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MCD	11.004,000	1,32	48hs.	8	11.041,500	11.069,500	129	-	10.860,500	9.800,000	11.619,500	391.109.443	705	15:44:42	
	MCD.B	-	-	48hs.	-	-	-	-	-	9.224,000	-	-	-	-		
	MCDC	-	-	48hs.	-	-	-	-	-	9,867	-	-	-	-		
	MCDD	11,600	1,31	48hs.	179	11,400	11,600	69	-	11,450	11,400	11,950	1.821	25	15:20:24	
	MDT	18.034,000	-	48hs.	49	18.034,000	19.033,000	11	-	18.034,500	18.020,000	18.034,000	288.472	4	15:04:04	
	MDTB	-	-	48hs.	-	-	-	-	-	9.369,000	-	-	-	-		
	MDTC	-	-	48hs.	-	-	-	-	-	6,958	-	-	-	-		
	MDTD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MELDB	-	-	48hs.	-	-	-	-	-	23,100	-	-	-	-		
	MELI	23.821,000	'0,69	48hs.	12	23.760,000	23.849,500	6	-	23.656,000	23.150,000	24.799,000	145.034.440	1.116	15:45:34	
	MELIB	-	-	48hs.	-	-	-	-	-	19.620,000	-	-	-	-		
	MELIC	-	-	48hs.	-	-	-	-	-	18,000	-	-	-	-		
	MELID	24,600	1,02	48hs.	10	23,500	24,600	14	-	24,350	24,000	25,050	11.368	91	15:39:44	
	META	13.251,000	'0,56	48hs.	194	13.250,000	13.251,000	46	-	13.176,000	13.000,000	13.500,000	61.266.925	545	15:46:03	
	METAB	-	-	48hs.	-	-	-	-	-	5.990,000	-	-	-	-		
	METAC	-	-	48hs.	-	-	-	-	-	9,333	-	-	-	-		
	METAD	14,000	2,18	48hs.	17	14,000	14,050	6	-	13,700	13,250	14,500	6.785	56	15:43:12	
	MFG	-	-	48hs.	-	-	-	-	-	3.000,000	-	-	-	-		
	MFGC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MMC	-	-	48hs.	-	-	12.100,000	1	-	11.086,500	-	-	-	-		
	MMCC	-	-	48hs.	-	-	-	-	-	'0,585	-	-	-	-		
	MMCD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MMM	18.420,000	'0,84	48hs.	51	18.200,000	18.420,000	49	-	18.265,500	17.400,000	18.700,000	5.098.469	72	15:45:15	
	MMMB	-	-	48hs.	-	-	-	-	-	8.132,500	-	-	-	-		
	MMMC	-	-	48hs.	-	-	-	-	-	29,854	-	-	-	-		
	MMMD	19,750	3,94	48hs.	10	18,000	19,700	55	-	19,000	19,750	19,750	40	1	11:52:57	
	MO	10.135,000	4,68	48hs.	7	10.035,000	10.135,000	81	-	9.681,500	9.702,000	10.400,000	20.099.173	235	15:44:45	
	MOC	-	-	48hs.	-	-	-	-	-	11,565	-	-	-	-		
	MOD	10,450	-3,24	48hs.	4	10,000	10,400	8	-	10,800	9,810	10,800	131	5	12:54:32	
	MOS	6.211,000	1,48	48hs.	198	6.211,000	6.579,500	15	-	6.120,000	5.800,000	6.600,000	1.842.284	10	15:15:19	
	MOSB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MOSC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MOSD	-	-	48hs.	25	2,600	-	-	-	8,800	-	-	-	-		
	MRK	18.888,000	-0,58	48hs.	59	18.500,000	19.080,000	8	-	19.000,000	18.500,000	19.090,000	543.813	16	15:13:16	
	MRK.B	-	-	48hs.	-	-	-	-	-	10.055,000	-	-	-	-		
	MRKC	-	-	48hs.	-	-	-	-	-	14,740	-	-	-	-		
	MRKD	-	-	48hs.	5	16,100	-	-	-	21,400	-	-	-	-		
	MSFCB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MSFDB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MSFT	11.954,000	2,29	48hs.	83	11.930,000	11.954,000	531	-	11.685,500	11.500,000	12.200,000	110.094.262	1.425	15:45:52	
	MSFTB	-	-	48hs.	-	-	-	-	-	9.750,000	-	-	-	-		
	MSFTC	-	-	48hs.	-	-	-	-	-	9,379	-	-	-	-		
	MSFTD	12,100	-2,81	48hs.	112	12,000	12,050	5	-	12,450	11,850	12,450	4.272	53	15:35:12	
	MSI	15.300,000	-0,97	48hs.	3	14.500,000	15.300,000	6	-	15.450,000	14.000,000	15.300,000	1.917.616	26	15:30:07	
	MSIC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	MSTR	24.250,000	4,52	48hs.	15	23.210,000	24.250,000	70	-	23.201,000	23.150,000	24.289,500	2.021.297	23	15:40:58	
	MSTRB	-	-	48hs.	-	-	-	-	-	13.140,000	-	-	-	-		
	MSTRC	-	-	48hs.	-	-	28,000	1	-	-	-	-	-	-		
	MSTRD	-	-	48hs.	10	12,550	28,500	1	-	27,500	-	-	-	-		
	MU	14.200,000	5,18	48hs.	10	13.701,000	14.299,500	3	-	13.500,000	13.601,500	14.200,000	466.415	9	15:23:44	
	MUB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MUC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MUD	-	-	48hs.	-	-	-	-	-	14,350	-	-	-	-		
	MUFG	8.600,000	17,77	48hs.	26	8.600,000	-	-	-	7.302,000	8.600,000	8.600,000	43.000	3	14:54:14	
	MUFGC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	MUFGD	-	-	48hs.	-	-	-	-	-	5,500	-	-	-	-		
	NEC1	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	NEM	12.385,000	3,21	48hs.	20	11.490,000	12.385,000	8	-	11.999,000	11.990,000	12.400,000	1.040.620	17	15:07:55	
	NEMC	-	-	48hs.	-	-	-	-	-	10,047	-	-	-	-		
	NEMD	-	-	48hs.	5	11,200	18,300	2	-	12,800	-	-	-	-		
	NFLX	27.780,000	1,18	48hs.	74	27.400,000	27.780,000	11	-	27.455,500	26.501,000	27.999,500	11.720.484	120	15:44:33	
	NFLXB	-	-	48hs.	-	-	-	-	-	21.110,000	-	-	-	-		
	NFLXC	-	-	48hs.	-	-	-	-	-	27,600	-	-	-	-		
	NFLXD	28,150	-6,16	48hs.	24	26,100	28,100	1	-	30,000	28,150	28,150	1.661	2	14:11:28	
	NG	-	-	48hs.	-	-	-	-	-	13.352,500	-	-	-	-		
	NGC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NGD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NGG	-	-	48hs.	1	27.300,000	30.978,000	1	-	27.127,827	-	-	-	-		
	NIO	1.763,000	2,26	48hs.	953	1.763,000	1.770,000	27	-	1.724,000	1.732,000	1.795,000	28.599.236	372	15:44:43	
	NIOB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NIOC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NIOD	1,700	-0,58	48hs.	2	1,700	1,860	36	-	1,710	1,690	1,750	91	9	14:52:25	
	NKE	8.480,000	1,91	48hs.	37	8.460,000	8.500,000	33	-	8.320,500	7.990,000	8.550,000	9.996.103	308	15:45:21	
	NKEB	-	-	48hs.	-	-	-	-	-	8.401,500	-	-	-	-		
	NKEC	-	-	48hs.	-	-	-	-	-	6,689	-	-	-	-		
	NKED	8,300	-5,03	48hs.	10	8,350	8,600	19	-	8,740	8,070	8,800	684	9	14:17:58	
	NMR	-	-	48hs.	-	-	-	-	-	3.400,000	-	-	-	-		
	NMRC	-	-	48hs.	-	-	-	-	-	17,413	-	-	-	-		
	NOKA	3.201,000	'0,03	48hs.	50	3.201,500	3.300,000	24	-	3.200,000	3.162,000	3.500,000	1.134.999	103	15:37:10	
	NOKAC	-	-	48hs.	-	-	-	-	-	17,467	-	-	-	-		
	NSAN	-	-	48hs.	1	1.000,000	-	-	-	1.545,000	-	-	-	-		
	NSANC	-	-	48hs.	-	-	-	-	-	11,825	-	-	-	-		
	NTCO	-	-	48hs.	37	5.601,000	6.000,000	10	-	5.523,000	-	-	-	-		
	NTCOC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	NTCOD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NTES	-	-	48hs.	3	7.500,000	7.828,500	1	-	7.457,000	-	-	-	-		
	NTESC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NTESD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NUE	9.850,000	-5,28	48hs.	10	10.570,000	10.600,000	15	-	10.399,500	9.500,000	10.700,000	766.530	17	15:20:45	
	NUEC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	NVDA	18.780,000	'0,06	48hs.	78	18.750,000	18.780,000	1.447	-	18.768,000	17.789,000	19.000,000	123.354.936	917	15:45:14	
	NVDAB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	NVDAC	-	-	48hs.	-	-	-	-	-	10,986	-	-	-	-		
	NVDAD	19,950	-1,72	48hs.	6	19,950	20,200	3	-	20,300	18,900	20,400	5.730	53	15:43:57	
	NVS	-	-	48hs.	47	21.069,500	-	-	-	22.177,500	-	-	-	-		
	NVSB	-	-	48hs.	-	-	-	-	-	10.800,000	-	-	-	-		
	NVSC	-	-	48hs.	-	-	-	-	-	21,033	-	-	-	-		
	NVSD	-	-	48hs.	-	-	28,500	23	-	27,500	-	-	-	-		
	ORAN	-	-	48hs.	1	11.000,000	16.000,000	3	-	11.000,000	-	-	-	-		
	ORANC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	ORCL	35.250,000	-1,44	48hs.	1	35.260,000	35.985,000	5	-	35.767,500	34.600,500	37.500,000	2.969.771	53	15:28:22	
	ORCLB	-	-	48hs.	-	-	-	-	-	6.447,000	-	-	-	-		
	ORCLC	-	-	48hs.	-	-	-	-	-	18,185	-	-	-	-		
	ORCLD	-	-	48hs.	-	-	-	-	-	39,317	-	-	-	-		
	OXY	11.190,500	-0,70	48hs.	48	11.195,000	11.250,000	58	-	11.270,000	10.690,000	11.466,500	8.655.671	109	15:36:10	
	OXYB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	OXYC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
