	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	AMZND	'0,986	1,75	48hs.	1.211	'0,986	'0,990	1.405	-	'0,969	'0,967	1,030	18.484	277	15:44:46	
	ANF	-	-	48hs.	2	48.000,000	68.200,000	1	-	68.200,000	-	-	-	-		
	ANFC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ANFD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AOCA	68.010,000	-3,75	48hs.	1	68.510,000	70.990,000	2	-	70.662,000	66.500,000	72.500,000	12.090.822	97	15:31:08	
	AOCAC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	AOCAD	-	-	48hs.	1	22,000	-	-	-	22,000	-	-	-	-		
	ARCO	21.750,000	2,11	48hs.	6	21.684,000	21.949,000	2	-	21.300,000	21.300,000	23.200,000	3.814.823	63	15:42:04	
	ARCOC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ARCOD	-	-	48hs.	5	16,900	-	-	-	20,350	-	-	-	-		
	ARKK	4.282,000	6,02	48hs.	203	4.229,000	4.282,000	8	-	4.038,500	3.917,500	4.500,000	25.327.008	496	15:46:17	
	ARKKB	-	-	48hs.	-	-	-	-	-	1.371,000	-	-	-	-		
	ARKKC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ARKKD	4,310	1,17	48hs.	13	4,200	4,400	13	-	4,260	4,100	4,400	6.601	32	15:43:04	
	ASR	-	-	48hs.	7	9.390,000	-	-	-	9.390,000	-	-	-	-		
	AVGO	24.000,000	'0,84	48hs.	5	22.900,000	23.900,000	10	-	23.800,000	21.767,000	24.498,000	3.269.311	34	15:15:01	
	AVGOC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AVGOD	-	-	48hs.	5	17,600	25,950	16	-	25,300	-	-	-	-		
	AVY	-	-	48hs.	20	9.001,000	10.000,000	20	-	10.000,000	-	-	-	-		
	AVY.B	-	-	48hs.	-	-	-	-	-	17.030,000	-	-	-	-		
	AVYC	-	-	48hs.	-	-	-	-	-	'0,816	-	-	-	-		
	AVYD	-	-	48hs.	-	-	-	-	-	9,968	-	-	-	-		
	AVYDB	-	-	48hs.	-	-	-	-	-	73,000	-	-	-	-		
	AXP	9.990,000	'0,82	48hs.	66	9.990,000	10.100,000	15	-	9.908,500	9.930,000	10.140,000	20.903.525	111	15:45:36	
	AXP.B	-	-	48hs.	-	-	-	-	-	8.126,000	-	-	-	-		
	AXPC	-	-	48hs.	-	-	-	-	-	10,767	-	-	-	-		
	AXPD	10,600	'0,95	48hs.	48	10,100	10,600	3	-	10,500	10,050	11,500	105	5	15:45:51	
	AZN	31.800,000	-5,65	48hs.	3	31.800,000	32.900,000	13	-	33.706,500	31.000,000	33.100,000	2.177.469	35	15:42:42	
	AZNC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	AZND	-	-	48hs.	5	29,000	33,700	1	-	33,000	-	-	-	-		
	BA	36.000,000	4,52	48hs.	106	36.000,000	36.200,000	2.000	-	34.440,000	32.000,000	36.375,000	8.136.661	66	15:45:38	
	BA..B	-	-	48hs.	-	-	-	-	-	17.790,000	-	-	-	-		
	BA.C	14.250,000	'0,34	48hs.	469	14.210,000	14.250,000	2	-	14.200,500	13.000,000	14.489,000	28.842.060	272	15:38:43	
	BA.CB	-	-	48hs.	-	-	-	-	-	5.164,000	-	-	-	-		
	BA.CC	-	-	48hs.	-	-	-	-	-	18,126	-	-	-	-		
	BA.CD	13,550	-7,82	48hs.	21	13,700	14,850	1	-	14,700	13,550	15,500	757	9	15:25:52	
	BABA	8.541,000	2,27	48hs.	100	8.513,000	8.541,000	217	-	8.351,000	8.263,000	8.580,000	60.729.593	581	15:45:25	
	BABAB	-	-	48hs.	-	-	-	-	-	3.195,000	-	-	-	-		
	BABAC	-	-	48hs.	-	-	-	-	-	13,400	-	-	-	-		
	BABAD	8,710	'0,11	48hs.	14	8,710	8,900	9	-	8,700	8,700	9,000	3.976	34	15:41:24	
	BAC	-	-	48hs.	-	-	-	-	-	37,000	-	-	-	-		
	BAD	37,000	11,11	48hs.	30	33,000	37,000	1	-	33,300	36,600	37,000	147	2	15:28:28	
	BAS	-	-	48hs.	-	-	-	-	-	6.621,753	-	-	-	-		
	BAS.B	-	-	48hs.	-	-	-	-	-	6.819,000	-	-	-	-		
	BASC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	BAYN	-	-	48hs.	-	-	-	-	-	3.365,678	-	-	-	-		
	BB	1.114,000	1,82	48hs.	500	1.110,000	1.114,000	70	-	1.094,000	1.054,500	1.150,000	806.128	52	15:26:59	
	BB.C	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BB.D	-	-	48hs.	-	-	-	-	-	1,480	-	-	-	-		
	BBD	3.050,000	1,85	48hs.	1.000	3.031,000	3.050,000	348	-	2.994,500	2.975,000	3.098,000	61.174.320	352	15:42:29	
	BBDB	-	-	48hs.	-	-	-	-	-	2.318,000	-	-	-	-		
	BBDC	-	-	48hs.	-	-	-	-	-	3,757	-	-	-	-		
	BBDD	3,260	-2,39	48hs.	31	3,000	3,200	50	-	3,340	3,000	3,340	583	8	14:14:23	
	BBV	8.599,000	-0,01	48hs.	2	8.599,000	9.000,000	100	-	8.600,000	8.000,000	8.605,000	3.176.484	24	15:01:38	
	BBVC	-	-	48hs.	-	-	-	-	-	4,617	-	-	-	-		
	BBVD	-	-	48hs.	-	-	-	-	-	8,451	-	-	-	-		
	BCS	-	-	48hs.	161	6.190,000	6.600,000	19	-	6.378,500	-	-	-	-		
	BCSC	-	-	48hs.	-	-	-	-	-	2,843	-	-	-	-		
	BHP	29.000,000	2,47	48hs.	15	28.301,000	30.100,000	2	-	28.300,000	29.000,000	29.000,000	58.000	1	15:38:40	
	BHPC	-	-	48hs.	-	-	-	-	-	16,476	-	-	-	-		
	BIDU	10.385,000	1,84	48hs.	10	10.261,000	10.385,000	2	-	10.197,000	10.011,000	10.680,000	5.337.861	141	15:42:39	
	BIDUC	-	-	48hs.	-	-	-	-	-	18,750	-	-	-	-		
	BIDUD	10,900	9,00	48hs.	2	9,500	10,900	12	-	10,000	10,900	10,900	218	2	14:58:36	
	BIIB	16.000,000	-3,22	48hs.	2	16.100,000	17.730,000	4	-	16.533,500	16.000,000	17.745,000	1.370.134	22	15:36:50	
	BIIBC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BIIBD	-	-	48hs.	-	-	-	-	-	23,900	-	-	-	-		
	BIOX	23.000,000	1,60	48hs.	1	23.000,000	23.179,000	1	-	22.637,500	21.915,000	23.500,000	40.465.928	145	15:45:39	
	BIOXC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BIOXD	23,000	-8,00	48hs.	26	21,000	23,000	1	-	25,000	23,000	25,000	318	5	15:43:16	
	BITF	5.590,000	1,03	48hs.	2	5.590,000	5.648,000	30	-	5.532,500	5.383,500	5.760,000	4.922.159	116	15:44:48	
	BITFB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BITFC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BITFD	-	-	48hs.	10	5,000	6,390	15	-	6,080	-	-	-	-		
	BK	22.000,000	1,85	48hs.	1	21.600,000	-	-	-	21.600,000	-	-	-	-	12:29:41	
	BK..B	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BKC	-	-	48hs.	-	-	-	-	-	12,940	-	-	-	-		
