symbol_x,open_x,dayMax_x,dayMin_x,close_x,volume_x,exchange_x,bidSize_x,bid_x,ask_x,askSize_x,settlementPeriod_x,base_symbol_x,ratio_x,aux_x,type_x,currency_x,volume_norm_x,can_use_x,symbol_y,open_y,dayMax_y,dayMin_y,close_y,volume_y,exchange_y,bidSize_y,bid_y,ask_y,askSize_y,settlementPeriod_y,base_symbol_y,ratio_y,aux_y,type_y,currency_y,volume_norm_y,can_use_y,x/y mid,x/y ask,x/y bid,vol_value_x,vol_value_y,spread_x,spread_y,max_spread,base_symbol,short_name
AZN,33714.0,35450.0,32749.5,35450.0,333.0,BUE,1000.0,35139.0,35628.0,40.0,48,AZN,2.0,N,base,ARS,0.11400239393423284,0,AZND,31.5,31.5,31.5,31.5,0.0,BUE,14.0,31.5,0.0,0.0,48,AZN,2.0,D,dolar,USD,0.11400239393423284,0,1070.2857142857142,1131.047619047619,inf,11226762.0,0.0,0.013820000847852813,2.0,2.0,AZN,Astrazeneca
BA,42000.0,42518.5,40902.0,42200.0,1820.0,BUE,40.0,41864.5,42418.0,40.0,48,BA,6.0,A,base,ARS,0.3631029272084464,0,BA.CD,17.2,17.8,16.5,17.15,157.0,BUE,57.0,17.15,17.2,12.0,48,BA,6.0,D,dolar,USD,0.3631029272084464,0,2441.860465116279,2473.3527696793003,2433.982558139535,76440000.0,2700.4,0.01313439919318957,0.0029112081513828656,0.01313439919318957,BA,Boeing
BA,42000.0,42518.5,40902.0,42200.0,1820.0,BUE,40.0,41864.5,42418.0,40.0,48,BA,6.0,A,base,ARS,0.3631029272084464,0,BAD,43.0,44.5,43.0,44.0,23.0,BUE,1.0,37.8,44.0,129.0,48,BA,6.0,D,dolar,USD,0.3631029272084464,0,976.7441860465116,1122.1693121693122,951.4659090909091,76440000.0,989.0,0.01313439919318957,0.15158924205378982,0.15158924205378982,BA,Boeing
BABA,8314.0,8804.5,8135.0,8770.5,37396.0,BUE,113.0,8770.5,8791.5,1040.0,48,BABA,9.0,A,base,ARS,17.341949602905757,1,BABAD,8.58,8.77,8.4,8.77,666.0,BUE,5.0,8.45,8.75,4.0,48,BABA,9.0,D,dolar,USD,17.341949602905757,1,968.9976689976689,1040.414201183432,1002.3428571428572,310910344.0,5714.28,0.0023915271609156134,0.03488372093023264,0.03488372093023264,BABA,Alibaba Group
BIDU,10487.0,11062.0,10061.0,10950.0,3087.0,BUE,315.0,10950.0,11025.5,120.0,48,BIDU,11.0,U,base,ARS,1.7580700747840412,1,BIDUD,10.9,11.6,10.9,11.55,62.0,BUE,92.0,10.3,11.55,38.0,48,BIDU,11.0,D,dolar,USD,1.7580700747840412,1,962.1100917431193,1070.4368932038835,948.051948051948,32373369.0,675.8000000000001,0.006871288480353121,0.11441647597254004,0.11441647597254004,BIDU,Baidu
BIOX,27000.0,28196.5,26400.0,27900.0,950.0,BUE,2.0,27900.0,28055.0,60.0,48,BIOX,0.5,X,base,ARS,1.0855842909028803,1,BIOXD,27.15,27.55,27.15,27.55,0.0,BUE,14.0,24.65,27.5,8.0,48,BIOX,0.5,D,dolar,USD,1.0855842909028803,1,994.475138121547,1138.133874239351,1014.5454545454545,25650000.0,0.0,0.00554016620498615,0.10930009587727714,0.10930009587727714,BIOX,Bioceres Crop Solutions Corp.
BITF,14000.0,14800.0,12500.0,14300.0,10265.0,BUE,194.0,14300.0,14539.0,340.0,48,BITF,0.2,F,base,ARS,8.338660888996005,1,BITFD,15.95,15.95,14.5,15.5,25.0,BUE,63.0,13.8,15.5,12.0,48,BITF,0.2,D,dolar,USD,8.338660888996005,1,877.7429467084639,1053.550724637681,922.5806451612904,143710000.0,398.75,0.016574777211415096,0.11604095563139927,0.11604095563139927,BITF,Bitfarms Ltd.
BMY,17650.0,18200.0,17001.0,17900.0,1081.0,BUE,2.0,17600.0,18381.0,60.0,48,BMY,3.0,Y,base,ARS,0.17062079074460618,0,BMYD,18.1,18.1,18.1,18.1,0.0,BUE,5.0,16.8,23.5,5.0,48,BMY,3.0,D,dolar,USD,0.17062079074460618,0,975.1381215469612,1094.107142857143,748.936170212766,19079650.0,0.0,0.043411800672577196,0.3325062034739454,0.3325062034739454,BMY,Bristol-myers Squibb Co
BP,7300.0,7475.5,6937.0,7411.0,833.0,BUE,160.0,7411.5,7479.0,2.0,48,BP,5.0,P,base,ARS,0.16179986656441173,0,BPD,7.35,7.35,7.0,7.0,0.0,BUE,54.0,6.95,8.2,4.0,48,BP,5.0,D,dolar,USD,0.16179986656441173,0,993.1972789115647,1076.1151079136691,903.8414634146342,6080900.0,0.0,0.009066183136899365,0.1650165016501649,0.1650165016501649,BP,Bp
BRKB,16309.0,17351.5,16230.0,17258.0,17316.0,BUE,36.0,17258.0,17259.0,10.0,48,BRKB,22.0,B,B,ARS,6.282070648401929,1,BRKBD,16.7,17.25,16.55,16.95,1891.0,BUE,112.0,16.95,17.2,379.0,48,BRKB,22.0,D,dolar,USD,6.282070648401929,1,976.5868263473054,1018.2300884955753,1003.3720930232558,282406644.0,31579.699999999997,5.794246313410783e-05,0.014641288433382138,0.014641288433382138,BRKB,Berkshire Hathaway
CAT,14578.5,14893.0,14085.0,14865.0,4557.0,BUE,120.0,14701.0,14854.5,120.0,48,CAT,20.0,T,base,ARS,1.6505671532656383,1,CATD,14.4,14.8,13.85,14.75,57.0,BUE,41.0,13.8,14.75,1.0,48,CAT,20.0,D,dolar,USD,1.6505671532656383,1,1012.3958333333333,1076.4130434782608,996.6779661016949,66434224.5,820.8000000000001,0.010387237569995432,0.06654991243432569,0.06654991243432569,CAT,Caterpillar
COIN,5700.0,5900.0,5215.0,5849.0,45030.0,BUE,3.0,5849.0,5880.0,33.0,48,COIN,27.0,N,base,ARS,8.188212161454574,1,COIND,6.47,6.47,5.9,6.39,1561.0,BUE,100.0,6.02,6.49,12.0,48,COIN,27.0,D,dolar,USD,8.188212161454574,1,880.9891808346214,976.7441860465117,901.2326656394453,256671000.0,10099.67,0.005286043140932731,0.07513988808952848,0.07513988808952848,COIN,Coinbase Global Inc.
CSCO,10100.0,10700.0,9894.0,10470.5,3488.0,BUE,1.0,10438.0,10478.0,14.0,48,CSCO,5.0,O,base,ARS,0.6438200418390067,0,CSCOD,10.55,11.5,10.0,11.5,237.0,BUE,15.0,10.8,11.5,21.0,48,CSCO,5.0,D,dolar,USD,0.6438200418390067,0,957.3459715639809,970.1851851851851,907.6521739130435,35228800.0,2500.3500000000004,0.0038248231019315355,0.0627802690582959,0.0627802690582959,CSCO,Cisco Systems
CVX,18850.0,19804.0,18100.0,19727.5,3453.0,BUE,3.0,19665.0,19733.0,1.0,48,CVX,8.0,X,base,ARS,1.5615392327247872,1,CVXD,18.95,19.8,18.25,19.3,362.0,BUE,38.0,19.3,19.75,3.0,48,CVX,8.0,D,dolar,USD,1.5615392327247872,1,994.7229551451188,1022.4352331606217,995.6962025316456,65089050.0,6859.9,0.0034519518757297326,0.023047375160051183,0.023047375160051183,CVX,Chevron
DE,10399.5,10399.5,9705.0,10145.0,1450.0,BUE,12.0,10145.0,10274.5,120.0,48,DE,40.0,E,base,ARS,0.5019540979495738,0,DED,10.1,10.1,10.1,10.1,7.0,BUE,5.0,9.4,10.0,1.0,48,DE,40.0,D,dolar,USD,0.5019540979495738,0,1029.6534653465346,1093.0319148936169,1014.5,15079275.0,70.7,0.012683954063517716,0.06185567010309275,0.06185567010309275,DE,Deere
DESP,8995.0,9250.0,8690.5,9250.0,2274.0,BUE,66.0,9200.0,9250.0,65.0,48,DESP,1.0,P,base,ARS,0.709718931079666,0,DESPD,9.49,9.49,9.49,9.49,3.0,BUE,10.0,8.33,10.6,5.0,48,DESP,1.0,D,dolar,USD,0.709718931079666,0,947.8398314014752,1110.4441776710685,867.9245283018868,20454630.0,28.47,0.005420054200542005,0.23983095615425246,0.23983095615425246,DESP,Despegar
DIA,18810.0,19504.0,18522.0,19453.0,20889.0,BUE,50.0,19217.0,19457.5,24.0,48,DIA,20.0,A,base,ARS,26.068449819821698,1,DIAD,19.15,19.3,18.8,19.3,776.0,BUE,6.0,19.05,19.95,33.0,48,DIA,20.0,D,dolar,USD,26.068449819821698,1,982.2454308093995,1021.3910761154855,963.2581453634085,392922090.0,14860.4,0.012437135580291924,0.04615384615384608,0.04615384615384608,DIA,Etf Spdr Dow Jones Industrial
DISN,7550.0,7930.0,7400.0,7860.0,54108.0,BUE,29.0,7856.0,7920.0,1054.0,48,DIS,12.0,N,base,ARS,0.0,0,DISND,7.88,7.9,7.7,7.88,2094.0,BUE,30.0,7.8,7.97,44.0,48,DIS,12.0,D,dolar,USD,0.0,0,958.1218274111675,1015.3846153846154,985.6963613550815,408515400.0,16500.72,0.008113590263691683,0.02155992390615091,0.02155992390615091,DIS,The Walt Disney Company 
DOCU,2506.5,2600.0,2506.5,2600.0,1012.0,BUE,540.0,2580.0,2600.0,7.0,48,DOCU,22.0,U,base,ARS,0.2528224684525427,0,DOCUD,2.84,2.85,2.84,2.85,0.0,BUE,154.0,2.33,0.0,0.0,48,DOCU,22.0,D,dolar,USD,0.2528224684525427,0,882.5704225352113,1115.8798283261801,inf,2536578.0,0.0,0.007722007722007722,2.0,2.0,DOCU,Docusign Inc.
DOW,9222.0,9514.0,8945.0,9514.0,657.0,BUE,140.0,9420.5,9527.5,140.0,48,DOW,6.0,W,base,ARS,0.26452894118673004,0,DOWD,8.9,8.9,8.9,8.9,0.0,BUE,0.0,0.0,10.0,12.0,48,DOW,6.0,D,dolar,USD,0.26452894118673004,0,1036.1797752808989,inf,942.05,6058854.0,0.0,0.011294067975511928,2.0,2.0,DOW,Dow Inc.
