simbolo,puntas,ultimoPrecio,variacionPorcentual,apertura,maximo,minimo,ultimoCierre,volumen,cantidadOperaciones,fecha,tipoOpcion,precioEjercicio,fechaVencimiento,mercado,moneda,descripcion,plazo,laminaMinima,lote
MA,"{'cantidadCompra': 120.0, 'precioCompra': 12250.0, 'precioVenta': 12335.5, 'cantidadVenta': 2900.0}",12300.0,0.72,12822.0,13000.0,12035.0,12300.0,376.0,57.0,2023-12-29T13:44:44.203,,,,1,1,Mastercard Inc.,T2,1,1
MAC,,11.15,0.0,11.15,11.15,11.15,11.15,0.0,0.0,2023-12-29T02:59:59.803,,,,1,2,Mastercard,T2,1,1
MAD,"{'cantidadCompra': 11.0, 'precioCompra': 11.4, 'precioVenta': 12.95, 'cantidadVenta': 14.0}",13.15,0.0,13.0,13.25,13.0,13.15,0.0,0.0,2023-12-29T03:00:05.11,,,,1,2,Mastercard,T2,1,1
MCD,"{'cantidadCompra': 120.0, 'precioCompra': 11672.5, 'precioVenta': 11780.0, 'cantidadVenta': 9.0}",11782.0,1.53,12000.0,12200.0,11260.0,11782.0,1728.0,337.0,2023-12-29T13:45:13.123,,,,1,1,McDonald's,T2,1,1
MCDD,"{'cantidadCompra': 12.0, 'precioCompra': 11.85, 'precioVenta': 12.6, 'cantidadVenta': 20.0}",12.3,2.92,12.0,12.4,12.0,12.3,98.0,28.0,2023-12-29T13:38:09.977,,,,1,2,Mcdonald's,T2,1,1
MDT,"{'cantidadCompra': 60.0, 'precioCompra': 19492.0, 'precioVenta': 19691.0, 'cantidadVenta': 1600.0}",19500.0,0.0,20000.0,20438.5,19500.0,19500.0,10.0,7.0,2023-12-29T12:20:57.577,,,,1,1,Medtronic,T2,1,1
MELI,"{'cantidadCompra': 1.0, 'precioCompra': 24950.0, 'precioVenta': 25007.0, 'cantidadVenta': 150.0}",24950.0,0.07,25650.0,26875.0,24385.0,24950.0,7650.0,968.0,2023-12-29T13:46:21.34,,,,1,1,MercadoLibre,T2,1,1
MELIC,,20.1,0.0,18.0,0.0,0.0,20.1,0.0,0.0,2023-12-29T03:00:00.16,,,,1,2,MercadoLibre,T2,1,1
MELID,"{'cantidadCompra': 56.0, 'precioCompra': 25.95, 'precioVenta': 26.3, 'cantidadVenta': 25.0}",26.2,0.0,26.35,26.9,25.5,26.2,440.0,82.0,2023-12-29T13:45:39.307,,,,1,2,MercadoLibre,T2,1,1
META,"{'cantidadCompra': 200.0, 'precioCompra': 13933.0, 'precioVenta': 14047.0, 'cantidadVenta': 4500.0}",13932.5,-1.42,14149.5,15200.0,13850.0,13932.5,6067.0,603.0,2023-12-29T13:45:57.197,,,,1,1,Meta Platforms Inc,T2,1,1
