simbolo,puntas,ultimoPrecio,variacionPorcentual,apertura,maximo,minimo,ultimoCierre,volumen,cantidadOperaciones,fecha,tipoOpcion,precioEjercicio,fechaVencimiento,mercado,moneda,descripcion,plazo,laminaMinima,lote
QQQ,"{'cantidadCompra': 100.0, 'precioCompra': 19359.0, 'precioVenta': 19487.5, 'cantidadVenta': 7100.0}",19487.0,0.41,20182.0,20400.0,19127.5,19487.0,8165.0,936.0,2023-12-29T13:46:00.593,,,,1,1,Etf Invesco Qqq Trust,T2,1,1
QQQD,"{'cantidadCompra': 30.0, 'precioCompra': 20.15, 'precioVenta': 20.55, 'cantidadVenta': 124.0}",20.15,0.24,20.5,20.75,20.15,20.15,543.0,83.0,2023-12-29T13:45:48.45,,,,1,2,Etf Invesco Qqq Trust,T2,1,1
RBLX,"{'cantidadCompra': 100.0, 'precioCompra': 21802.5, 'precioVenta': 22112.5, 'cantidadVenta': 1900.0}",21750.0,-1.13,22000.0,22864.0,21548.5,21750.0,459.0,20.0,2023-12-29T13:13:13.593,,,,1,1,Roblox Corporation,T2,1,1
RBLXD,"{'cantidadCompra': 5.0, 'precioCompra': 10.8, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",16.9,0.0,16.9,16.9,16.9,16.9,0.0,0.0,2023-12-29T03:00:10.747,,,,1,2,Roblox Corporation,T2,1,1
RIO,"{'cantidadCompra': 1800.0, 'precioCompra': 17474.0, 'precioVenta': 17640.0, 'cantidadVenta': 24.0}",17481.0,-0.56,17580.5,18299.0,17252.0,17481.0,501.0,150.0,2023-12-29T13:45:19.43,,,,1,1,Rio Tinto,T2,1,1
RIOD,"{'cantidadCompra': 34.0, 'precioCompra': 17.0, 'precioVenta': 19.0, 'cantidadVenta': 8.0}",18.45,-1.86,18.8,18.8,18.45,18.45,5.0,3.0,2023-12-29T12:20:57.65,,,,1,2,Rio Tinto,T2,1,1
RTX,"{'cantidadCompra': 1.0, 'precioCompra': 8000.0, 'precioVenta': 16340.5, 'cantidadVenta': 9.0}",15833.0,-0.26,15898.5,16341.0,15833.0,15833.0,146.0,19.0,2023-12-29T13:44:39.527,,,,1,1,United Technologies,T2,1,1
SAN,"{'cantidadCompra': 2300.0, 'precioCompra': 15528.0, 'precioVenta': 15790.0, 'cantidadVenta': 46.0}",15730.0,1.34,16116.5,16116.5,15730.0,15730.0,15.0,3.0,2023-12-29T12:27:54.697,,,,1,1,Banco Santander (Cedear),T2,1,1
SAP,"{'cantidadCompra': 80.0, 'precioCompra': 24277.0, 'precioVenta': 24692.5, 'cantidadVenta': 80.0}",24586.0,2.05,24586.0,24586.0,24586.0,24586.0,75.0,1.0,2023-12-29T12:20:57.653,,,,1,1,SAP,T2,1,1
SATL,"{'cantidadCompra': 141.0, 'precioCompra': 1611.0, 'precioVenta': 1617.0, 'cantidadVenta': 115.0}",1617.0,-0.85,1668.5,1694.0,1600.0,1617.0,3983.0,169.0,2023-12-29T13:45:54.167,,,,1,1,Satellogic Inc.,T2,1,1
SATLD,"{'cantidadCompra': 10.0, 'precioCompra': 1.55, 'precioVenta': 1.85, 'cantidadVenta': 1.0}",1.85,-2.11,1.85,1.85,1.85,1.85,10.0,1.0,2023-12-29T12:32:19.75,,,,1,2,Satellogic Inc.,T2,1,1
SBS,"{'cantidadCompra': 80.0, 'precioCompra': 28724.5, 'precioVenta': 29061.5, 'cantidadVenta': 1600.0}",28754.0,0.5,28897.0,28897.0,28754.0,28754.0,17.0,2.0,2023-12-29T12:20:57.653,,,,1,1,COMPANHIA DE SANEAMENTO BÁSICO DO ESTADO DE SÃO PAULO-SABESP,T2,1,1
SBUX,"{'cantidadCompra': 22.0, 'precioCompra': 21100.0, 'precioVenta': 23000.0, 'cantidadVenta': 10.0}",22874.5,1.1,23150.0,23653.5,22425.0,22874.5,574.0,135.0,2023-12-29T13:43:24.127,,,,1,1,Starbucks,T2,1,1
SCCO,"{'cantidadCompra': 40.0, 'precioCompra': 40080.0, 'precioVenta': 41100.0, 'cantidadVenta': 40.0}",39769.5,-3.0,41455.0,41455.0,39769.0,39769.5,19.0,7.0,2023-12-29T12:56:08.123,,,,1,1,Southern Copper,T2,1,1
SD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:12.55,,,,1,1,SandRidge Energy,T2,1,1
SE,"{'cantidadCompra': 30.0, 'precioCompra': 1205.0, 'precioVenta': 1220.5, 'cantidadVenta': 16200.0}",1214.0,1.12,1180.0,1250.0,1180.0,1214.0,9064.0,129.0,2023-12-29T13:41:40.63,,,,1,1,Sea Ltd.,T2,1,1
SED,"{'cantidadCompra': 15.0, 'precioCompra': 1.18, 'precioVenta': 1.3, 'cantidadVenta': 11.0}",1.25,-2.34,1.3,1.3,1.25,1.25,5.0,2.0,2023-12-29T12:20:57.657,,,,1,2,Sea Ltd.,T2,1,1
SHEL,"{'cantidadCompra': 1100.0, 'precioCompra': 31006.0, 'precioVenta': 31350.0, 'cantidadVenta': 2.0}",31492.0,2.89,30605.5,31500.0,30605.5,31492.0,255.0,30.0,2023-12-29T13:39:03.237,,,,1,1,Shell Plc,T2,1,1
SHOP,"{'cantidadCompra': 510.0, 'precioCompra': 652.0, 'precioVenta': 699.0, 'cantidadVenta': 6.0}",689.5,1.39,695.0,735.0,676.0,689.5,5899.0,344.0,2023-12-29T13:44:04.523,,,,1,1,Shopify Inc.,T2,1,1
SHOPC,,14.15,0.0,14.15,14.15,14.15,14.15,0.0,0.0,2023-12-29T03:00:05.403,,,,1,2,Shopify Inc.,T2,1,1
SHOPD,"{'cantidadCompra': 6.0, 'precioCompra': 0.72, 'precioVenta': 0.734, 'cantidadVenta': 5.0}",0.734,1.94,0.72,0.735,0.7,0.734,102.0,12.0,2023-12-29T13:41:51.59,,,,1,2,Shopify Inc.,T2,1,1
SI,,22.45,0.0,62.5,62.5,22.0,22.45,0.0,0.0,2023-12-29T03:00:22.15,,,,1,1,Silvergate Capital Corporation,T2,1,1
SI.C,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-27T03:00:24.42,,,,1,2,Silvergate Capital Corporation,T2,1,1
SI.D,,0.221,0.0,0.22,0.231,0.22,0.221,0.0,0.0,2023-12-29T03:00:02.86,,,,1,2,Silvergate Capital Corporation,T2,1,1
SID,"{'cantidadCompra': 70.0, 'precioCompra': 29580.0, 'precioVenta': 29884.0, 'cantidadVenta': 1300.0}",30146.5,-0.24,30700.0,30700.0,30146.5,30146.5,2.0,2.0,2023-12-29T12:20:57.663,,,,1,1,Companhia Siderúrgica Nacional,T2,1,1
SIEGY,,4950.0,0.0,8050.0,8050.0,8050.0,4950.0,0.0,0.0,2023-12-29T03:00:11.007,,,,1,1,Siemens Ag Adr,T2,1,1
SLB,"{'cantidadCompra': 1800.0, 'precioCompra': 16340.0, 'precioVenta': 16597.5, 'cantidadVenta': 1800.0}",16440.0,0.91,16850.0,16850.0,16300.0,16440.0,81.0,20.0,2023-12-29T13:43:27.3,,,,1,1,Schlumberger,T2,1,1
SLBD,"{'cantidadCompra': 10.0, 'precioCompra': 4.0, 'precioVenta': 19.6, 'cantidadVenta': 2.0}",19.5,0.0,19.5,19.5,19.5,19.5,0.0,0.0,2023-12-29T03:00:15.827,,,,1,2,Schlumberger,T2,1,1
SMSN,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:05.967,,,,1,1,SAMSUNG ELECTRONICS CO. LTD.,T2,1,1
SNA,"{'cantidadCompra': 40.0, 'precioCompra': 45286.5, 'precioVenta': 45954.0, 'cantidadVenta': 1.0}",45900.0,2.01,45833.0,45900.0,45833.0,45900.0,6.0,4.0,2023-12-29T13:11:01.077,,,,1,1,Snap-On,T2,1,1
SNAP,"{'cantidadCompra': 160.0, 'precioCompra': 15948.5, 'precioVenta': 16204.5, 'cantidadVenta': 3100.0}",16581.5,3.11,16200.0,16705.0,16200.0,16581.5,48.0,4.0,2023-12-29T12:20:57.667,,,,1,1,Snap Inc.,T2,1,1
SNOW,"{'cantidadCompra': 280.0, 'precioCompra': 6272.5, 'precioVenta': 6351.0, 'cantidadVenta': 6200.0}",6342.0,-0.01,6400.0,6501.5,6224.5,6342.0,1088.0,16.0,2023-12-29T13:41:56.34,,,,1,1,Snowflake Inc.,T2,1,1
SNOWC,,9.9,0.0,9.9,9.9,9.9,9.9,0.0,0.0,2023-12-29T03:00:01.1,,,,1,2,Snowflake Inc,T2,1,1
SNOWD,,6.61,0.0,6.61,6.61,6.61,6.61,10.0,1.0,2023-12-29T12:34:12.55,,,,1,2,Snowflake Inc,T2,1,1
SNPTY,,4645.5,0.0,4600.0,4645.5,4570.0,4645.5,0.0,0.0,2023-12-29T03:00:25.17,,,,1,1,Sinopec,T2,1,1
SONY,"{'cantidadCompra': 1500.0, 'precioCompra': 22288.0, 'precioVenta': 22550.0, 'cantidadVenta': 3.0}",22538.5,0.9,23380.5,23509.5,22194.0,22538.5,72.0,21.0,2023-12-29T13:30:11.107,,,,1,1,Sony Corporation,T2,1,1
SPGI,"{'cantidadCompra': 180.0, 'precioCompra': 9239.0, 'precioVenta': 9347.5, 'cantidadVenta': 180.0}",9250.5,0.5,9250.0,9710.5,9157.5,9250.5,385.0,23.0,2023-12-29T13:25:17.107,,,,1,1,S&P GLOBAL INC.,T2,1,1
SPGID,"{'cantidadCompra': 3.0, 'precioCompra': 9.25, 'precioVenta': 9.85, 'cantidadVenta': 3.0}",9.3,-4.9,9.3,9.3,9.3,9.3,2.0,1.0,2023-12-29T12:23:27.877,,,,1,2,S&P Global Inc.,T2,1,1
SPOT,"{'cantidadCompra': 300.0, 'precioCompra': 6382.5, 'precioVenta': 6455.5, 'cantidadVenta': 7200.0}",6442.0,1.2,6405.0,6709.5,6288.0,6442.0,368.0,87.0,2023-12-29T13:45:22.76,,,,1,1,Spotify Technology S.A.,T2,1,1
SPOTC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:00.133,,,,1,2,Spotify Technology S.A.,T2,1,1
SPOTD,"{'cantidadCompra': 5.0, 'precioCompra': 5.6, 'precioVenta': 6.8, 'cantidadVenta': 9.0}",6.85,3.94,6.69,6.85,6.69,6.85,15.0,4.0,2023-12-29T12:22:09.227,,,,1,2,Spotify Technology S.A.,T2,1,1
SPY,"{'cantidadCompra': 6.0, 'precioCompra': 22607.0, 'precioVenta': 22640.0, 'cantidadVenta': 235.0}",22640.0,1.5,22490.0,23400.0,22035.5,22640.0,68035.0,4046.0,2023-12-29T13:46:18.187,,,,1,1,Etf Spdr S&P 500,T2,1,1
SPYD,"{'cantidadCompra': 1.0, 'precioCompra': 23.4, 'precioVenta': 23.7, 'cantidadVenta': 1.0}",23.7,0.0,23.95,23.95,22.7,23.7,3143.0,273.0,2023-12-29T13:43:03.663,,,,1,2,Etf Spdr S&P 500,T2,1,1
SQ,"{'cantidadCompra': 400.0, 'precioCompra': 3639.5, 'precioVenta': 3670.0, 'cantidadVenta': 107.0}",3669.0,-1.64,3775.5,3943.5,3586.5,3669.0,2271.0,74.0,2023-12-29T13:44:00.057,,,,1,1,Square Inc.,T2,1,1
SQC,,13.25,0.0,13.25,13.25,13.25,13.25,0.0,0.0,2023-12-13T03:00:06.703,,,,1,2,Square Inc,T2,1,1
SQD,"{'cantidadCompra': 50.0, 'precioCompra': 1.65, 'precioVenta': 3.9, 'cantidadVenta': 400.0}",3.95,0.0,3.95,3.95,3.95,3.95,3.0,1.0,2023-12-29T12:35:50.7,,,,1,2,Square Inc,T2,1,1
SUZ,"{'cantidadCompra': 160.0, 'precioCompra': 10743.0, 'precioVenta': 10885.5, 'cantidadVenta': 3700.0}",10675.0,0.5,10621.0,10675.0,10621.0,10675.0,3.0,2.0,2023-12-29T12:20:57.683,,,,1,1,Suzano,T2,1,1
SYY,"{'cantidadCompra': 140.0, 'precioCompra': 8617.5, 'precioVenta': 8728.0, 'cantidadVenta': 3540.0}",8614.0,-0.95,9026.5,9056.5,8614.0,8614.0,63.0,15.0,2023-12-29T13:21:49.997,,,,1,1,Sysco,T2,1,1
T,"{'cantidadCompra': 2.0, 'precioCompra': 5170.0, 'precioVenta': 5350.0, 'cantidadVenta': 1.0}",5336.5,1.37,5324.0,5598.0,5199.0,5336.5,39373.0,397.0,2023-12-29T13:41:48.45,,,,1,1,At&T,T2,1,1
TCOM,"{'cantidadCompra': 7.0, 'precioCompra': 15600.0, 'precioVenta': 16200.0, 'cantidadVenta': 1.0}",15619.0,0.0,15619.0,15619.0,15619.0,15619.0,0.0,0.0,2023-12-29T03:00:18.85,,,,1,1,Trip.com Group,T2,1,1
TD,"{'cantidadCompra': 3.0, 'precioCompra': 5.5, 'precioVenta': 5.9, 'cantidadVenta': 10.0}",5.7,3.63,5.65,5.72,5.41,5.7,67.0,13.0,2023-12-29T13:29:52.22,,,,1,2,AT&T,T2,1,1
TEFO,"{'cantidadCompra': 127.0, 'precioCompra': 451.0, 'precioVenta': 466.5, 'cantidadVenta': 5.0}",466.5,1.63,459.0,471.0,447.0,466.5,444.0,39.0,2023-12-29T13:44:41.517,,,,1,1,Telefonica Sa,T2,1,1
TEN,"{'cantidadCompra': 1.0, 'precioCompra': 32999.0, 'precioVenta': 34399.0, 'cantidadVenta': 5.0}",33163.0,0.38,33149.5,34679.5,32611.0,33163.0,2106.0,111.0,2023-12-29T13:45:36.247,,,,1,1,Tenaris,T2,1,1
TEND,"{'cantidadCompra': 11.0, 'precioCompra': 31.0, 'precioVenta': 35.65, 'cantidadVenta': 50.0}",37.0,-4.63,37.5,38.0,37.0,37.0,78.0,7.0,2023-12-29T13:28:23.167,,,,1,2,Tenaris,T2,1,1
TGT,"{'cantidadCompra': 250.0, 'precioCompra': 5593.5, 'precioVenta': 5661.5, 'cantidadVenta': 4600.0}",5591.0,-0.08,5650.0,5818.0,5560.5,5591.0,1046.0,24.0,2023-12-29T13:42:12.453,,,,1,1,Target Corporation,T2,1,1
TIMB,"{'cantidadCompra': 1.0, 'precioCompra': 17210.0, 'precioVenta': 17635.5, 'cantidadVenta': 100.0}",17208.5,0.0,16426.5,17208.5,16426.5,17208.5,0.0,0.0,2023-12-29T03:00:05.467,,,,1,1,Tim Participações S.A.,T2,1,1
TM,"{'cantidadCompra': 1.0, 'precioCompra': 34000.0, 'precioVenta': 35255.0, 'cantidadVenta': 9.0}",34531.5,0.78,35000.0,36309.5,34400.0,34531.5,378.0,71.0,2023-12-29T13:40:18.33,,,,1,1,Toyota Motors,T2,1,1
TMD,"{'cantidadCompra': 1.0, 'precioCompra': 34.4, 'precioVenta': 38.2, 'cantidadVenta': 1.0}",38.2,0.92,38.2,38.2,38.2,38.2,74.0,6.0,2023-12-29T12:55:15.05,,,,1,2,Toyota Motors,T2,1,1
TMO,"{'cantidadCompra': 60.0, 'precioCompra': 22800.0, 'precioVenta': 23110.0, 'cantidadVenta': 1300.0}",22953.0,0.25,23400.0,23643.0,22951.0,22953.0,189.0,8.0,2023-12-29T13:43:23.353,,,,1,1,Thermo Fisher Scientific Inc.,T2,1,1
TRIP,"{'cantidadCompra': 37.0, 'precioCompra': 9950.0, 'precioVenta': 10311.0, 'cantidadVenta': 200.0}",10313.0,2.33,10082.0,10313.0,9896.5,10313.0,24.0,10.0,2023-12-29T13:35:33.227,,,,1,1,Tripadvisor Inc.,T2,1,1
TSLA,"{'cantidadCompra': 132.0, 'precioCompra': 15840.0, 'precioVenta': 15848.0, 'cantidadVenta': 514.0}",15824.0,-0.75,15951.0,17180.0,15541.0,15824.0,14576.0,1305.0,2023-12-29T13:45:51.03,,,,1,1,Tesla,T2,1,1
TSLAC,,48.6,0.0,48.6,48.6,48.6,48.6,0.0,0.0,2023-12-29T03:00:18.487,,,,1,2,Tesla,T2,1,1
TSLAD,"{'cantidadCompra': 15.0, 'precioCompra': 16.5, 'precioVenta': 16.55, 'cantidadVenta': 57.0}",16.5,-1.19,17.0,17.0,16.2,16.5,1024.0,114.0,2023-12-29T13:44:30.877,,,,1,2,Tesla,T2,1,1
TSM,"{'cantidadCompra': 140.0, 'precioCompra': 10951.0, 'precioVenta': 11028.5, 'cantidadVenta': 3100.0}",10950.5,0.44,11000.0,11694.0,10802.5,10950.5,452.0,105.0,2023-12-29T13:43:59.427,,,,1,1,Taiwan Semiconductor Manufacturing Cedear,T2,1,1
TTE,"{'cantidadCompra': 80.0, 'precioCompra': 21227.5, 'precioVenta': 21449.0, 'cantidadVenta': 1600.0}",21216.5,1.04,21370.0,21652.5,21000.0,21216.5,176.0,10.0,2023-12-29T13:29:05.9,,,,1,1,Total,T2,1,1
TV,"{'cantidadCompra': 1.0, 'precioCompra': 1065.0, 'precioVenta': 1092.5, 'cantidadVenta': 1000.0}",1065.0,1.76,1046.5,1114.0,1046.5,1065.0,10.0,5.0,2023-12-29T13:36:08.367,,,,1,1,Grupo Televisa,T2,1,1
TVC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-28T03:01:25.617,,,,1,2,Grupo Televisa,T2,1,1
TVD,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:04.8,,,,1,2,Grupo Televisa,T2,1,1
TWLO,"{'cantidadCompra': 800.0, 'precioCompra': 1984.0, 'precioVenta': 2030.0, 'cantidadVenta': 19400.0}",1980.0,-0.22,2050.0,2081.5,1980.0,1980.0,411.0,13.0,2023-12-29T13:01:41.55,,,,1,1,TWILIO INC.,T2,1,1
TWLOD,"{'cantidadCompra': 25.0, 'precioCompra': 1.31, 'precioVenta': 2.19, 'cantidadVenta': 25.0}",2.1,0.0,2.1,2.1,2.1,2.1,0.0,0.0,2023-12-29T03:00:20.643,,,,1,2,Twilio Inc.,T2,1,1
TWTR,,8311.0,0.0,8180.0,8320.0,8180.0,8311.0,0.0,0.0,2023-12-13T03:00:08.663,,,,1,1,Twitter,T2,1,1
TWTRD,,28.0,0.0,27.6,28.0,27.0,28.0,0.0,0.0,2023-12-29T03:00:02.93,,,,1,2,Twitter,T2,1,1
TXN,"{'cantidadCompra': 40.0, 'precioCompra': 32181.0, 'precioVenta': 32544.0, 'cantidadVenta': 1000.0}",32500.0,0.87,32000.0,33317.5,31822.0,32500.0,140.0,36.0,2023-12-29T13:42:01.337,,,,1,1,Texas Instruments,T2,1,1
TXND,,33.0,0.0,33.0,33.0,33.0,33.0,0.0,0.0,2023-12-29T03:00:18.253,,,,1,2,Texas Instruments,T2,1,1
TXR,"{'cantidadCompra': 5.0, 'precioCompra': 18500.0, 'precioVenta': 19881.0, 'cantidadVenta': 35.0}",20000.0,0.59,20600.0,20998.0,19712.0,20000.0,1354.0,46.0,2023-12-29T13:40:13.907,,,,1,1,Ternium,T2,1,1
TXRD,"{'cantidadCompra': 13.0, 'precioCompra': 19.0, 'precioVenta': 22.15, 'cantidadVenta': 23.0}",19.1,0.0,19.1,19.1,19.1,19.1,0.0,0.0,2023-12-29T03:00:17.887,,,,1,2,Ternium,T2,1,1
UAL,"{'cantidadCompra': 1.0, 'precioCompra': 7000.0, 'precioVenta': 8295.5, 'cantidadVenta': 7.0}",7913.5,0.32,8042.0,8217.0,7725.5,7913.5,227.0,20.0,2023-12-29T13:38:15.56,,,,1,1,"United Airlines Holdings, Inc.",T2,1,1
UALD,"{'cantidadCompra': 25.0, 'precioCompra': 3.6, 'precioVenta': 11.7, 'cantidadVenta': 3.0}",11.0,0.0,11.0,11.0,11.0,11.0,0.0,0.0,2023-12-29T03:00:05.92,,,,1,2,"United Airlines Holdings, Inc.",T2,1,1
UBER,"{'cantidadCompra': 80.0, 'precioCompra': 29150.0, 'precioVenta': 29483.5, 'cantidadVenta': 1900.0}",29450.0,0.05,29434.0,30852.0,29291.5,29450.0,402.0,19.0,2023-12-29T12:40:03.433,,,,1,1,"Uber Technologies, Inc.",T2,1,1
UBERD,"{'cantidadCompra': 1.0, 'precioCompra': 28.0, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",28.0,0.0,28.0,28.0,28.0,28.0,0.0,0.0,2023-12-29T03:00:10.12,,,,1,2,"Uber Technologies, Inc.",T2,1,1
UGP,"{'cantidadCompra': 500.0, 'precioCompra': 5104.0, 'precioVenta': 5195.0, 'cantidadVenta': 500.0}",5090.0,-1.54,5147.5,5147.5,5090.0,5090.0,273.0,5.0,2023-12-29T13:06:17.583,,,,1,1,Ultrapar Participacoes,T2,1,1
UL,"{'cantidadCompra': 6.0, 'precioCompra': 15246.0, 'precioVenta': 15503.0, 'cantidadVenta': 80.0}",15503.5,1.69,14483.0,15504.0,14483.0,15503.5,320.0,31.0,2023-12-29T13:40:14.27,,,,1,1,Unilever,T2,1,1
UNH,"{'cantidadCompra': 5.0, 'precioCompra': 15151.0, 'precioVenta': 15215.0, 'cantidadVenta': 2200.0}",15215.0,1.05,15100.0,15957.0,14799.5,15215.0,840.0,89.0,2023-12-29T13:45:57.187,,,,1,1,UnitedHealth Group Inc.,T2,1,1
UNHC,,15.4,0.0,15.4,15.4,15.4,15.4,0.0,0.0,2023-12-28T03:01:25.627,,,,1,2,UnitedHealth Group Inc.,T2,1,1
UNHD,"{'cantidadCompra': 25.0, 'precioCompra': 15.2, 'precioVenta': 15.0, 'cantidadVenta': 7.0}",15.15,0.0,15.15,15.2,15.15,15.15,25.0,6.0,2023-12-29T13:41:01.313,,,,1,2,UnitedHealth Group Inc.,T2,1,1
UNP,"{'cantidadCompra': 140.0, 'precioCompra': 11598.0, 'precioVenta': 11721.0, 'cantidadVenta': 140.0}",11719.0,0.93,11743.5,11800.0,11411.0,11719.0,338.0,11.0,2023-12-29T13:43:02.1,,,,1,1,Union Pacific Corp.,T2,1,1
UNPC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-27T03:00:23.277,,,,1,2,Union Pacific Corp.,T2,1,1
UNPD,"{'cantidadCompra': 2.0, 'precioCompra': 10.5, 'precioVenta': 0.0, 'cantidadVenta': 0.0}",11.0,0.0,11.0,11.0,11.0,11.0,0.0,0.0,2023-12-29T03:00:13.82,,,,1,2,Union Pacific Corp.,T2,1,1
UPST,"{'cantidadCompra': 30.0, 'precioCompra': 7640.0, 'precioVenta': 7700.5, 'cantidadVenta': 9900.0}",7700.0,-8.82,8446.0,8999.5,7495.5,7700.0,7306.0,218.0,2023-12-29T13:44:00.03,,,,1,1,"Upstart Holdings, Inc.",T2,1,1
UPSTD,"{'cantidadCompra': 2.0, 'precioCompra': 4.2, 'precioVenta': 8.9, 'cantidadVenta': 18.0}",8.9,-3.99,8.9,8.9,8.9,8.9,40.0,1.0,2023-12-29T12:20:57.727,,,,1,2,"Upstart Holdings, Inc.",T2,1,1
USB,"{'cantidadCompra': 200.0, 'precioCompra': 8194.0, 'precioVenta': 8287.0, 'cantidadVenta': 3400.0}",8193.5,1.05,8400.0,8467.0,8107.5,8193.5,98.0,16.0,2023-12-29T13:28:01.71,,,,1,1,CEDEAR U.S.Banco,T2,1,1
V,"{'cantidadCompra': 75.0, 'precioCompra': 13355.5, 'precioVenta': 13705.5, 'cantidadVenta': 18.0}",13789.5,0.92,14209.0,14430.0,13548.0,13789.5,2444.0,187.0,2023-12-29T13:44:39.607,,,,1,1,Visa ,T2,1,1
VALE,"{'cantidadCompra': 1.0, 'precioCompra': 7404.0, 'precioVenta': 7563.5, 'cantidadVenta': 1.0}",7525.0,0.48,7500.0,7885.0,7380.0,7525.0,22058.0,192.0,2023-12-29T13:45:49.98,,,,1,1,Vale,T2,1,1
VALED,"{'cantidadCompra': 1.0, 'precioCompra': 7.78, 'precioVenta': 7.9, 'cantidadVenta': 50.0}",7.84,0.51,8.0,8.08,7.8,7.84,230.0,10.0,2023-12-29T12:37:11.223,,,,1,2,Vale,T2,1,1
VD,"{'cantidadCompra': 22.0, 'precioCompra': 13.7, 'precioVenta': 14.4, 'cantidadVenta': 10.0}",13.7,-4.52,14.4,14.5,13.3,13.7,215.0,24.0,2023-12-29T13:46:06.513,,,,1,2,Visa ,T2,1,1
VIST,"{'cantidadCompra': 80.0, 'precioCompra': 27803.0, 'precioVenta': 27979.5, 'cantidadVenta': 1900.0}",27998.5,1.33,27501.0,28735.5,27000.0,27998.5,16390.0,659.0,2023-12-29T13:45:57.263,,,,1,1,Vista Energy S.A.B. De C.V.,T2,1,1
VISTD,"{'cantidadCompra': 6.0, 'precioCompra': 28.8, 'precioVenta': 29.45, 'cantidadVenta': 157.0}",28.85,-0.85,29.9,29.9,28.7,28.85,366.0,46.0,2023-12-29T13:43:12.483,,,,1,2,Vista Energy S.A.B. De C.V.,T2,1,1
VIV,"{'cantidadCompra': 4400.0, 'precioCompra': 10275.5, 'precioVenta': 10445.5, 'cantidadVenta': 4400.0}",10250.5,-1.58,10274.0,10274.0,10250.5,10250.5,5.0,4.0,2023-12-29T13:12:46.42,,,,1,1,Telefonica Brasil,T2,1,1
VOD,"{'cantidadCompra': 1.0, 'precioCompra': 8275.0, 'precioVenta': 8300.0, 'cantidadVenta': 32.0}",8300.0,1.84,8103.0,8692.5,8103.0,8300.0,879.0,52.0,2023-12-29T13:42:07.613,,,,1,1,Vodafone Group,T2,1,1
VRSN,"{'cantidadCompra': 40.0, 'precioCompra': 32377.5, 'precioVenta': 32705.0, 'cantidadVenta': 1000.0}",32309.5,-0.23,32844.0,32844.0,32309.5,32309.5,20.0,2.0,2023-12-29T13:10:17.117,,,,1,1,Verisign,T2,1,1
VZ,"{'cantidadCompra': 27.0, 'precioCompra': 17900.0, 'precioVenta': 17964.5, 'cantidadVenta': 1700.0}",17964.5,1.79,17650.0,18458.5,16700.0,17964.5,678.0,132.0,2023-12-29T13:45:25.423,,,,1,1,Verizon Communications,T2,1,1
VZD,"{'cantidadCompra': 10.0, 'precioCompra': 18.0, 'precioVenta': 18.85, 'cantidadVenta': 5.0}",18.0,-2.7,18.7,18.8,18.0,18.0,37.0,12.0,2023-12-29T13:19:52.433,,,,1,2,Verizon Communications,T2,1,1
WBA,"{'cantidadCompra': 14.0, 'precioCompra': 8140.0, 'precioVenta': 8233.0, 'cantidadVenta': 2700.0}",8236.0,-0.04,8300.0,8500.0,7859.0,8236.0,635.0,146.0,2023-12-29T13:46:09.09,,,,1,1,Walgreens Boots Alliance Inc.,T2,1,1
WBAC,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-12-29T03:00:02.167,,,,1,2,Walgreens Boots Alliance Inc,T2,1,1
WBAD,"{'cantidadCompra': 12.0, 'precioCompra': 8.35, 'precioVenta': 9.94, 'cantidadVenta': 110.0}",8.6,-1.14,8.6,8.6,8.6,8.6,2.0,1.0,2023-12-29T12:20:57.74,,,,1,2,Walgreens Boots Alliance Inc,T2,1,1
WBO,"{'cantidadCompra': 8600.0, 'precioCompra': 1704.0, 'precioVenta': 1730.0, 'cantidadVenta': 284.0}",1730.0,1.64,1720.0,1824.0,1695.5,1730.0,749.0,49.0,2023-12-29T13:35:17.9,,,,1,1,CEDEAR WEIBO CORPORATION,T2,1,1
WFC,"{'cantidadCompra': 160.0, 'precioCompra': 9330.5, 'precioVenta': 9414.5, 'cantidadVenta': 3400.0}",9330.0,0.83,9489.0,9763.0,9246.5,9330.0,7472.0,24.0,2023-12-29T13:44:33.413,,,,1,1,Wells Fargo,T2,1,1
WFCC,,7.5,0.0,7.5,7.5,7.5,7.5,0.0,0.0,2023-12-29T03:00:26.057,,,,1,2,Wells Fargo,T2,1,1
WFCD,"{'cantidadCompra': 3.0, 'precioCompra': 8.5, 'precioVenta': 10.0, 'cantidadVenta': 56.0}",9.75,0.0,9.75,9.75,9.75,9.75,2.0,1.0,2023-12-29T12:30:42.79,,,,1,2,Wells Fargo,T2,1,1
