	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	BA	-	-	C.I.	-	-	-	-	33.000,000	33.000,000	-	-	-	-		
	BA.C	14.005,000	3,80	C.I.	1	14.200,000	14.285,000	2	14.002,500	13.491,000	13.500,000	14.500,000	9.091.276	65	16:12:38	
	BA.CD	15,500	6,52	C.I.	20	14,750	15,700	4	15,500	14,550	14,650	15,650	328	7	15:48:14	
	BABA	7.760,000	3,72	C.I.	-	-	-	-	7.760,000	7.481,500	7.401,000	7.800,000	12.093.197	166	16:29:15	
	BABAC	-	-	C.I.	-	-	-	-	-	24,200	-	-	-	-		
	BABAD	8,540	'0,58	C.I.	-	-	12,400	1	8,540	8,490	8,300	8,540	788	6	13:20:14	
	BAC	-	-	C.I.	-	-	-	-	43,800	43,800	-	-	-	-		
	BAD	37,900	-3,43	C.I.	-	-	-	-	37,900	39,250	37,900	37,900	341	2	13:11:42	
	BAS	-	-	C.I.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	BB	1.282,000	22,09	C.I.	-	-	1.282,000	43	1.282,000	1.050,000	1.282,000	1.282,000	7.692	2	14:54:51	
	BB.C	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	BB.D	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	BBD	2.978,000	-0,61	C.I.	500	785,000	3.200,000	5	3.043,000	2.996,341	2.910,500	3.108,500	10.206.941	139	16:27:27	
	BBDD	3,100	-3,00	C.I.	-	-	-	-	3,100	3,196	3,100	3,100	53	1	15:59:21	
	BBV	8.272,500	4,71	C.I.	-	-	-	-	8.272,500	7.900,000	8.272,500	8.300,000	256.613	2	16:13:45	
	BBVD	-	-	C.I.	-	-	-	-	5,720	5,720	-	-	-	-		
	BCS	-	-	C.I.	-	-	-	-	5.890,500	5.890,500	-	-	-	-		
	BHP	28.000,000	-3,44	C.I.	-	-	-	-	28.000,000	28.999,000	28.000,000	28.000,000	56.000	1	12:30:05	
	BHPC	-	-	C.I.	-	-	-	-	1,011	1,011	-	-	-	-		
	BIDU	9.594,000	6,57	C.I.	-	-	-	-	9.593,000	9.002,000	8.721,500	9.594,000	337.210	20	16:10:01	
	BIDUD	-	-	C.I.	-	-	-	-	10,250	10,250	-	-	-	-		
	BIIB	-	-	C.I.	1	13.855,000	-	-	14.701,500	14.701,500	-	-	-	-		
	BIOX	23.300,000	5,25	C.I.	2	20.500,000	-	-	23.300,000	22.137,000	22.190,500	23.500,000	2.242.591	27	16:11:42	
	BIOXC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	BIOXD	-	-	C.I.	-	-	-	-	24,800	24,800	-	-	-	-		
	BITF	8.910,000	1,25	C.I.	19	8.910,000	9.100,000	29	9.005,000	8.800,000	8.500,000	9.200,000	853.203	17	16:12:44	
	BITFC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	BITFD	-	-	C.I.	-	-	-	-	5,860	5,860	-	-	-	-		
	BK	-	-	C.I.	-	-	-	-	21.000,000	21.000,000	-	-	-	-		
	BKC	-	-	C.I.	-	-	-	-	-	233,990	-	-	-	-		
	BKD	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	BMY	-	-	C.I.	5	14.500,000	15.350,000	5	14.520,000	14.520,000	-	-	-	-		
	BNG	18.291,000	-2,61	C.I.	-	-	-	-	18.291,000	18.782,000	18.291,000	18.783,000	242.703	3	15:06:41	
	BNGC	-	-	C.I.	-	-	-	-	1,311	1,311	-	-	-	-		
	BP	6.450,000	4,57	C.I.	-	-	-	-	6.403,000	6.168,000	5.868,500	6.450,000	575.348	16	16:27:55	
	BPD	-	-	C.I.	-	-	-	-	7,303	7,303	-	-	-	-		
	BRFS	7.800,000	1,82	C.I.	10	7.300,000	7.800,000	16	7.800,000	7.660,000	7.696,000	7.800,000	15.496	2	15:32:24	
	BRKB	14.700,000	1,64	C.I.	6	14.550,000	14.700,000	33	14.689,500	14.462,000	14.000,000	14.931,000	44.120.456	280	16:28:08	
	BRKBB	-	-	C.I.	-	-	-	-	14.940,000	14.940,000	-	-	-	-		
	BRKBC	-	-	C.I.	-	-	-	-	15,750	15,750	-	-	-	-		
	BRKBD	15,450	-0,96	C.I.	-	-	21,000	17	15,450	15,600	14,950	15,450	2.640	8	16:17:11	
	BSBR	-	-	C.I.	-	-	6.220,000	15	5.840,000	5.840,000	-	-	-	-		
	BSN	-	-	C.I.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	BSN.B	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	C	15.050,000	8,74	C.I.	1	7.850,000	-	-	15.024,000	13.840,000	13.163,500	15.050,000	2.459.481	53	16:26:50	
	C...B	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	C.D	14,300	-4,66	C.I.	15	14,300	16,500	29	14,300	15,000	14,300	14,300	100	1	11:33:43	
	CAAP	-	-	C.I.	-	-	-	-	47.975,500	47.975,500	-	-	-	-		
	CAAPC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
	CAH	-	-	C.I.	-	-	32.932,000	1	27.542,000	27.542,000	-	-	-	-		
	CAR	-	-	C.I.	-	-	-	-	7.077,000	7.077,000	-	-	-	-		
	CAT	11.750,000	2,82	C.I.	1	9.894,000	11.945,000	1	11.824,000	11.427,000	11.100,000	11.899,000	5.678.844	48	16:21:10	
	CATD	-	-	C.I.	-	-	17,000	1	11,100	11,100	-	-	-	-		
	CC	-	-	C.I.	-	-	-	-	15,346	15,346	-	-	-	-		
	CDE	2.583,000	-	C.I.	-	-	-	-	2.583,000	2.583,000	2.583,000	2.583,000	2.583	1	11:19:36	
	CL	-	-	C.I.	-	-	-	-	23.300,000	23.300,000	-	-	-	-		
	CLC	-	-	C.I.	-	-	-	-	-	-	-	-	-	-		
