	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	AAL	-	-	24hs.	-	-	-	-	5.899,000	5.899,000	-	-	-	-		
	AALD	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	AAPDB	-	-	24hs.	-	-	-	-	19,150	19,150	-	-	-	-		
	AAPL	18.165,000	4,08	24hs.	4	17.585,000	18.166,500	20	18.165,000	17.452,000	17.110,500	18.507,000	3.746.164	35	16:46:12	
	AAPLB	18.320,000	6,39	24hs.	-	-	-	-	18.320,000	17.219,000	18.320,000	18.320,000	89.584.800	1	16:21:44	
	AAPLC	-	-	24hs.	-	-	-	-	-	8,658	-	-	-	-		
	AAPLD	-	-	24hs.	-	-	25,000	1	19,450	19,450	-	-	-	-		
	ABBV	-	-	24hs.	-	-	-	-	-	11.997,000	-	-	-	-		
	ABBVC	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	ABEV	-	-	24hs.	-	-	-	-	1.756,000	1.756,000	-	-	-	-		
	ABEVD	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	ABNBC	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	ABNBD	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	ABT	-	-	24hs.	-	-	-	-	-	15.749,041	-	-	-	-		
	ABTB	-	-	24hs.	-	-	-	-	12.374,000	12.374,000	-	-	-	-		
	ADBE	-	-	24hs.	-	-	30.560,000	1	12.590,000	12.590,000	-	-	-	-		
	ADI	-	-	24hs.	-	-	-	-	-	1.810,208	-	-	-	-		
	ADS	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	ADSD	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	AEG	-	-	24hs.	-	-	-	-	13,850	13,850	-	-	-	-		
	AIG	-	-	24hs.	-	-	-	-	4.133,687	4.133,687	-	-	-	-		
	AKO.B	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	AMAT	-	-	24hs.	-	-	-	-	22.036,157	22.036,157	-	-	-	-		
	AMATC	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	AMATD	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	AMD	10.355,000	-4,12	24hs.	-	-	13.590,000	8	10.355,000	10.800,000	10.355,000	10.810,000	168.410	2	16:52:02	
	AMD.B	-	-	24hs.	-	-	-	-	46.664,000	46.664,000	-	-	-	-		
	AMDD	-	-	24hs.	-	-	16,200	5	-	11,600	-	-	-	-		
	AMGN	-	-	24hs.	-	-	-	-	8.415,113	8.415,113	-	-	-	-		
	AMX	-	-	24hs.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	AMXC	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	AMXD	-	-	24hs.	-	-	-	-	177,050	177,050	-	-	-	-		
	AMZN	939,000	7,31	24hs.	52	912,500	939,000	324	939,000	875,000	892,000	970,000	665.450	32	16:57:55	
	AMZNB	-	-	24hs.	-	-	-	-	-	272,000	-	-	-	-		
	AMZNC	-	-	24hs.	-	-	-	-	'0,935	'0,935	-	-	-	-		
	ANF	-	-	24hs.	-	-	-	-	9.830,000	9.830,000	-	-	-	-		
	ARCO	-	-	24hs.	-	-	-	-	-	4.413,081	-	-	-	-		
	ARKK	-	-	24hs.	-	-	5.150,000	10	4.005,000	4.005,000	-	-	-	-		
	ARKKC	-	-	24hs.	-	-	-	-	-	-	-	-	-	-		
	ARKKD	-	-	24hs.	-	-	6,130	10	4,300	4,300	-	-	-	-		
