	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	AAL	6.292,000	5,87	48hs.	1.300	4.435,000	6.300,000	40	6.243,000	5.943,000	5.900,000	6.297,000	75.252.148	640	16:59:30	
	AALC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AALD	6,900	3,13	48hs.	100	6,500	6,950	27	-	6,690	6,500	6,950	614	15	16:14:37	
	AAPCB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AAPDB	-	-	48hs.	-	-	-	-	19,400	19,400	-	-	-	-		
	AAPL	17.840,000	2,06	48hs.	16	17.250,000	18.200,000	2	18.032,000	17.479,000	17.442,000	18.150,000	878.238.206	4.284	16:59:53	
	AAPLB	-	-	48hs.	-	-	-	-	-	17.429,000	-	-	-	-		
	AAPLC	-	-	48hs.	-	-	-	-	17,476	17,476	-	-	-	-		
	AAPLD	19,100	-1,03	48hs.	3	18,700	19,450	1	19,300	19,300	18,900	19,400	71.528	245	16:59:19	
	ABBV	13.775,000	4,35	48hs.	6	9.300,000	-	-	13.764,000	13.200,000	13.153,000	13.778,000	12.393.894	134	16:59:07	
	ABBVC	-	-	48hs.	-	-	-	-	9,714	9,714	-	-	-	-		
	ABBVD	15,600	5,40	48hs.	5	12,200	17,000	83	15,600	14,800	15,450	15,600	1.929	13	17:12:46	
	ABEV	7.980,000	'0,23	48hs.	-	-	-	-	7.963,000	7.961,500	7.715,000	7.980,000	7.611.471	70	16:59:23	
	ABEVC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ABEVD	8,600	7,49	48hs.	5	8,000	8,600	133	8,600	8,000	8,600	8,600	17	1	15:37:28	
	ABNB	8.626,500	6,57	48hs.	54	7.500,000	-	-	8.616,000	8.094,500	8.200,000	8.626,500	10.188.755	216	16:59:13	
	ABNBD	-	-	48hs.	-	-	-	-	9,400	9,400	-	-	-	-		
	ABT	24.250,000	6,10	48hs.	-	-	-	-	24.190,000	22.854,000	22.360,000	24.400,000	15.083.561	51	16:38:09	
	ABTB	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ABTC	-	-	48hs.	-	-	-	-	29,162	29,162	-	-	-	-		
	ABTD	-	-	48hs.	10	16,000	-	-	25,000	25,000	-	-	-	-		
	ADBE	25.127,000	2,17	48hs.	3	22.980,000	25.900,000	1	25.127,000	24.591,000	23.372,000	25.907,000	24.248.307	146	16:58:40	
	ADBED	-	-	48hs.	6	25,000	31,000	6	27,000	27,000	-	-	-	-		
	ADGO	22.775,000	'0,36	48hs.	15	19.500,000	-	-	22.344,000	22.691,500	21.827,000	24.500,000	36.288.962	311	16:59:46	
	ADGOC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ADGOD	-	-	48hs.	2	22,000	-	-	22,000	22,000	-	-	-	-		
	ADI	11.126,000	1,97	48hs.	-	-	-	-	11.125,500	10.910,000	10.855,000	11.300,000	2.183.309	26	16:41:00	
	ADID	-	-	48hs.	-	-	-	-	12,979	12,979	-	-	-	-		
	ADP	34.550,000	-2,20	48hs.	1	34.600,000	-	-	35.104,500	35.330,447	34.550,000	35.900,000	952.026	14	15:44:30	
	ADPC	-	-	48hs.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	ADS	-	-	48hs.	2	500,000	-	-	3.980,000	3.980,000	-	-	-	-		
	ADSD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AEG	5.036,000	2,78	48hs.	-	-	-	-	5.036,000	4.899,500	5.007,500	5.194,000	50.758	5	15:34:41	
	AEM	16.549,000	7,12	48hs.	1	500,000	-	-	16.439,000	15.449,000	15.039,500	16.674,000	5.502.376	70	16:54:02	
	AIG	12.244,000	3,76	48hs.	-	-	-	-	12.244,000	11.800,000	11.834,500	12.352,500	1.623.976	9	16:15:33	
	AIGC	-	-	48hs.	-	-	-	-	18,252	18,252	-	-	-	-		
	AIGD	-	-	48hs.	5	9,000	-	-	12,500	12,500	-	-	-	-		
	AKO.B	20.000,000	2,09	48hs.	2	18.525,000	-	-	20.000,000	19.589,000	19.000,000	20.500,000	1.569.700	13	15:48:48	
	AKOBD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AMAT	27.195,000	2,42	48hs.	5	26.348,000	27.195,000	8	27.195,000	26.550,000	26.000,000	27.351,500	2.938.596	30	16:56:13	
	AMATC	-	-	48hs.	-	-	-	-	26,354	26,354	-	-	-	-		
	AMATD	-	-	48hs.	-	-	-	-	-	21,872	-	-	-	-		
	AMD	10.975,000	2,53	48hs.	10	5.200,000	11.490,000	2	10.953,500	10.704,000	10.260,000	11.423,000	70.190.499	611	16:58:33	
	AMDD	11,100	-3,47	48hs.	65	11,000	11,950	60	11,450	11,500	11,100	11,850	2.696	33	16:29:11	
	AMDDB	-	-	48hs.	-	-	-	-	158,500	158,500	-	-	-	-		
	AMGN	25.428,500	5,66	48hs.	2	24.554,000	25.428,500	2	25.428,500	24.065,000	24.065,000	25.436,500	26.383.139	92	16:52:43	
	AMGNB	-	-	48hs.	-	-	-	-	10.818,000	10.818,000	-	-	-	-		
	AMGNC	-	-	48hs.	-	-	-	-	19,978	19,978	-	-	-	-		
	AMGND	26,400	14,78	48hs.	4	23,000	-	-	26,400	23,000	25,900	26,400	365	4	15:08:04	
	AMX	17.210,500	6,55	48hs.	-	-	-	-	17.202,500	16.152,000	16.385,000	17.235,000	1.568.718	29	16:41:15	
	AMX.B	-	-	48hs.	-	-	-	-	2.087,000	2.087,000	-	-	-	-		
	AMXC	-	-	48hs.	-	-	-	-	9,935	9,935	-	-	-	-		
	AMXD	-	-	48hs.	-	-	-	-	20,444	20,444	-	-	-	-		
	AMZN	947,000	3,15	48hs.	7	900,000	965,000	60	945,500	918,000	900,000	958,000	373.202.714	7.502	16:59:58	
	AMZNB	-	-	48hs.	-	-	-	-	788,000	788,000	-	-	-	-		
	AMZNC	-	-	48hs.	-	-	-	-	'0,912	'0,912	-	-	-	-		
	AMZND	1,020	-	48hs.	3.554	'0,990	1,020	648	1,020	1,020	'0,980	1,030	9.324	223	16:54:07	
	ANF	73.278,500	8,16	48hs.	-	-	-	-	73.244,000	67.747,000	71.674,000	73.278,500	2.777.257	4	16:19:27	
	ANFC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ANFD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AOCA	58.000,000	'0,56	48hs.	1	48.000,000	60.000,000	7	58.000,000	57.675,500	52.250,000	58.000,000	13.506.046	128	16:57:56	
	AOCAC	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	AOCAD	-	-	48hs.	-	-	-	-	22,000	22,000	-	-	-	-		
	ARCO	23.003,500	7,30	48hs.	5	22.059,000	23.250,000	1	22.905,000	21.438,000	22.060,000	23.003,500	10.243.686	68	16:54:52	
	ARCOC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ARCOD	24,950	4,17	48hs.	5	16,900	-	-	24,950	23,950	24,950	24,950	100	1	15:09:33	
	ARKK	4.599,000	4,98	48hs.	50	4.000,000	4.800,000	24	4.577,500	4.380,500	4.308,000	4.599,000	98.191.255	623	16:58:30	
	ARKKB	-	-	48hs.	-	-	-	-	1.371,000	1.371,000	-	-	-	-		
	ARKKC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ARKKD	4,850	2,32	48hs.	12	4,700	4,850	522	4,850	4,740	4,790	4,900	6.832	22	16:18:36	
	ASR	11.220,500	10,00	48hs.	-	-	-	-	11.220,500	10.200,000	10.500,000	11.220,500	866.588	12	16:50:56	
	AVGO	21.986,000	2,85	48hs.	156	21.500,000	21.985,000	2	21.919,000	21.375,000	21.000,000	22.250,000	28.662.904	163	16:54:52	
	AVGOC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	AVGOD	-	-	48hs.	5	17,600	25,950	16	23,400	23,400	-	-	-	-		
	AVY	10.000,500	4,12	48hs.	-	-	-	-	10.000,500	9.604,500	9.800,000	10.000,500	707.120	16	16:37:04	
	AVY.B	-	-	48hs.	-	-	-	-	17.030,000	17.030,000	-	-	-	-		
	AVYC	-	-	48hs.	-	-	-	-	'0,771	'0,771	-	-	-	-		
	AVYD	-	-	48hs.	-	-	-	-	10,555	10,555	-	-	-	-		
	AVYDB	-	-	48hs.	-	-	-	-	-	73,000	-	-	-	-		
	AXP	10.547,000	3,95	48hs.	-	-	-	-	10.412,000	10.146,000	10.146,000	10.685,500	27.643.959	219	16:49:25	
	AXP.B	-	-	48hs.	-	-	-	-	8.126,000	8.126,000	-	-	-	-		
	AXPC	-	-	48hs.	-	-	-	-	10,767	10,767	-	-	-	-		
	AXPD	11,450	-0,86	48hs.	5	8,750	-	-	11,450	11,550	11,450	11,450	80	2	13:47:12	
	AZN	29.990,000	6,34	48hs.	-	-	34.413,000	149	29.990,000	28.201,500	29.010,500	29.990,000	11.785.150	44	16:53:27	
	AZNC	-	-	48hs.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	AZND	-	-	48hs.	5	29,000	-	-	31,700	31,700	-	-	-	-		
	BA	37.100,000	4,56	48hs.	-	-	-	-	36.928,500	35.481,500	35.450,000	37.106,500	9.138.629	50	16:40:14	
	BA.C	14.370,000	4,30	48hs.	-	-	-	-	14.364,500	13.777,000	13.778,000	14.628,000	87.161.992	567	16:56:13	
	BA.CB	-	-	48hs.	-	-	-	-	5.164,000	5.164,000	-	-	-	-		
	BA.CC	-	-	48hs.	-	-	-	-	-	18,006	-	-	-	-		
	BA.CD	15,500	4,02	48hs.	48	15,100	15,500	27	-	14,900	15,000	15,600	902	20	16:45:04	
	BABA	7.777,000	1,64	48hs.	30	7.600,000	8.000,000	3	7.789,000	7.651,000	7.550,000	7.850,000	205.008.862	1.033	16:59:55	
	BABAB	-	-	48hs.	-	-	-	-	3.195,000	3.195,000	-	-	-	-		
	BABAC	-	-	48hs.	-	-	-	-	13,400	13,400	-	-	-	-		
	BABAD	8,530	1,18	48hs.	102	8,100	10,000	14	8,530	8,430	8,210	8,580	2.717	36	16:57:07	
	BAC	-	-	48hs.	-	-	-	-	37,000	37,000	-	-	-	-		
	BAD	-	-	48hs.	-	-	41,500	5	38,000	38,000	-	-	-	-		
	BAS	-	-	48hs.	-	-	-	-	6.621,753	6.621,753	-	-	-	-		
	BAS.B	-	-	48hs.	-	-	-	-	6.819,000	6.819,000	-	-	-	-		
	BASC	-	-	48hs.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	BAYN	-	-	48hs.	-	-	-	-	-	3.365,678	-	-	-	-		
	BB	1.226,000	3,02	48hs.	44	1.230,000	1.235,000	175	1.234,000	1.190,000	1.181,000	1.240,000	5.032.876	88	16:58:01	
	BB.C	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BB.D	-	-	48hs.	-	-	-	-	1,480	1,480	-	-	-	-		
	BBD	3.090,000	3,06	48hs.	3	3.020,000	3.090,000	52	3.094,500	2.998,000	2.987,500	3.116,500	347.066.547	1.200	16:59:12	
	BBDB	-	-	48hs.	-	-	-	-	2.318,000	2.318,000	-	-	-	-		
	BBDC	-	-	48hs.	-	-	-	-	3,753	3,753	-	-	-	-		
	BBDD	3,330	'0,90	48hs.	25	2,350	3,400	50	3,270	3,300	3,210	3,330	4.820	30	15:55:31	
	BBV	8.502,000	1,80	48hs.	-	-	-	-	8.502,000	8.351,000	8.267,500	8.669,500	1.664.138	19	16:13:45	
	BBVC	-	-	48hs.	-	-	-	-	4,617	4,617	-	-	-	-		
	BBVD	9,050	7,08	48hs.	5	5,000	-	-	9,050	8,451	9,050	9,050	45	1	14:50:17	
	BCS	6.505,500	6,55	48hs.	1	6.287,500	7.000,000	3	6.505,500	6.105,500	6.287,500	6.517,000	7.456.348	123	16:56:58	
	BCSC	-	-	48hs.	-	-	-	-	2,843	2,843	-	-	-	-		
	BHP	28.455,000	3,54	48hs.	3	25.250,000	30.100,000	8	-	27.482,000	28.000,000	29.027,000	12.611.150	17	16:45:06	
	BHPC	-	-	48hs.	-	-	-	-	16,476	16,476	-	-	-	-		
	BIDU	9.700,000	3,42	48hs.	1	5.500,000	10.500,000	312	9.735,000	9.378,500	9.017,000	9.750,000	19.370.575	183	16:57:01	
	BIDUC	-	-	48hs.	-	-	-	-	18,750	18,750	-	-	-	-		
	BIDUD	-	-	48hs.	-	-	10,900	50	10,250	10,250	-	-	-	-		
	BIIB	17.084,500	7,65	48hs.	-	-	-	-	17.083,500	15.870,000	15.730,000	17.099,500	23.291.221	124	16:58:35	
	BIIBC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BIIBD	-	-	48hs.	-	-	23,900	6	23,900	23,900	-	-	-	-		
	BIOX	23.319,000	4,12	48hs.	1	15.000,000	23.600,000	38	23.342,500	22.395,500	22.350,000	23.499,000	37.904.054	238	16:58:09	
	BIOXC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BIOXD	25,500	6,25	48hs.	16	23,000	27,000	2	25,500	24,000	25,150	25,500	2.236	9	13:45:07	
	BITF	9.270,000	5,35	48hs.	1	3.100,000	9.700,000	35	9.261,500	8.799,000	8.700,000	9.720,500	99.411.236	792	16:57:55	
	BITFC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	BITFD	9,900	47,76	48hs.	-	-	-	-	9,900	6,700	9,500	9,900	527	6	16:31:55	
	BK	22.300,000	1,08	48hs.	-	-	-	-	22.300,000	22.060,000	21.700,000	22.305,000	6.889.690	22	16:54:04	
	BKC	-	-	48hs.	-	-	-	-	-	12,940	-	-	-	-		
	BKD	-	-	48hs.	-	-	-	-	22,000	22,000	-	-	-	-		
	BMY	15.500,000	1,14	48hs.	1	14.680,000	-	-	15.487,000	15.325,000	14.805,000	15.500,000	8.679.829	77	16:59:49	
