	Especie	Ult. Pre.	Var. %	Plazo	CC	PC	PV	CV	Cierre	Anterior	Mín	Máx	Total	Oper.	Hora	
	BMYB	-	-	48hs.	-	-	-	-	-	10.250,000	-	-	-	-		
	BMYC	-	-	48hs.	-	-	-	-	22,350	22,350	-	-	-	-		
	BMYD	-	-	48hs.	10	14,250	-	-	18,100	18,100	-	-	-	-		
	BNG	19.226,500	1,84	48hs.	26	19.228,000	19.684,500	1.700	-	18.878,000	18.260,000	20.044,500	3.967.820	48	16:55:12	
	BNGB	-	-	48hs.	-	-	-	-	13.385,000	13.385,000	-	-	-	-		
	BNGD	20,000	-4,76	48hs.	4	19,400	25,000	8	20,000	21,000	20,000	20,000	20	1	14:25:31	
	BP	6.550,000	2,53	48hs.	-	-	7.120,000	1.000	6.509,500	6.388,000	6.297,500	6.661,000	8.946.837	72	16:56:14	
	BPC	-	-	48hs.	-	-	-	-	6,723	6,723	-	-	-	-		
	BPD	-	-	48hs.	5	7,000	8,000	5	7,000	7,000	-	-	-	-		
	BRFS	7.820,000	-0,42	48hs.	1	2.800,000	9.320,000	1	7.820,000	7.853,000	7.239,500	7.950,000	27.563.019	103	16:59:49	
	BRFSD	-	-	48hs.	-	-	11,450	15	-	-	-	-	-	-		
	BRKB	15.020,000	2,76	48hs.	23	13.000,000	16.000,000	6	14.987,500	14.616,500	14.442,000	15.146,000	503.297.504	1.605	16:58:39	
	BRKBB	-	-	48hs.	-	-	-	-	14.144,000	14.144,000	-	-	-	-		
	BRKBC	-	-	48hs.	-	-	-	-	14,450	14,450	-	-	-	-		
	BRKBD	15,550	'0,32	48hs.	33	15,000	16,500	36	15,600	15,500	15,200	16,250	8.675	42	16:46:43	
	BSBR	5.680,000	'0,57	48hs.	1	1.000,000	5.950,000	10	5.680,000	5.647,500	5.545,500	5.800,000	686.976	14	15:50:02	
	BSN	-	-	48hs.	-	-	-	-	-	613,313	-	-	-	-		
	BSN.B	-	-	48hs.	-	-	-	-	-	654,000	-	-	-	-		
	BSNC	-	-	48hs.	-	-	-	-	'0,010	'0,010	-	-	-	-		
	C	15.140,000	6,89	48hs.	1	7.200,000	15.775,000	49	15.069,000	14.163,000	13.600,000	15.200,000	65.000.484	620	16:57:55	
	C...B	-	-	48hs.	-	-	-	-	-	7.740,000	-	-	-	-		
	C.D	16,150	4,53	48hs.	-	-	18,000	33	16,150	15,450	15,500	16,200	425	9	16:55:16	
	CAAP	55.046,000	'0,63	48hs.	22	52.500,000	55.701,000	1	54.237,000	54.700,000	53.161,000	55.314,000	4.078.040	18	16:46:51	
	CAAPC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CAAPD	28,350	5,00	48hs.	-	-	60,000	2	28,350	27,000	28,350	28,350	680	2	16:21:44	
	CAH	33.000,000	'0,66	48hs.	11	32.550,000	33.105,000	2	33.000,000	32.782,000	32.052,500	33.000,000	454.519	8	16:42:30	
	CAHC	-	-	48hs.	-	-	-	-	12,500	12,500	-	-	-	-		
	CAHD	-	-	48hs.	-	-	-	-	16,606	16,606	-	-	-	-		
	CAR	6.958,500	6,69	48hs.	-	-	-	-	6.958,500	6.522,000	6.738,500	7.185,000	7.229.105	27	16:53:49	
	CAR.C	-	-	48hs.	-	-	-	-	'0,515	'0,515	-	-	-	-		
	CAT	12.020,000	3,86	48hs.	10	11.600,000	12.291,500	5	12.009,000	11.572,500	11.500,000	12.020,000	51.530.473	317	16:59:00	
	CATC	-	-	48hs.	-	-	-	-	10,331	10,331	-	-	-	-		
	CATD	-	-	48hs.	11	11,500	12,350	2	-	11,700	-	-	-	-		
	CBRD	713,000	9,69	48hs.	240	510,000	725,000	1	711,500	650,000	671,500	720,000	3.755.560	120	16:58:47	
	CBRDD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CC	-	-	48hs.	-	-	-	-	-	12,112	-	-	-	-		
	CDE	2.838,000	6,35	48hs.	2	2.780,000	2.855,000	2	2.838,000	2.668,500	2.700,000	2.899,000	4.553.019	66	16:51:29	
	CL	24.240,000	3,56	48hs.	-	-	-	-	24.233,000	23.406,000	23.300,500	24.240,000	15.665.685	28	16:50:03	
	CLD	-	-	48hs.	5	22,700	-	-	24,840	24,840	-	-	-	-		
	COIN	4.750,000	-0,96	48hs.	1.500	3.659,000	5.400,000	4	4.749,500	4.796,500	4.600,000	4.975,000	151.814.098	1.130	16:59:31	
	COINB	-	-	48hs.	-	-	-	-	429,000	429,000	-	-	-	-		
	COIND	5,300	-1,11	48hs.	3	3,600	7,100	8	5,300	5,360	5,190	5,710	2.468	18	16:23:08	
	COST	11.850,000	3,38	48hs.	-	-	12.500,000	10	11.850,000	11.462,000	11.464,000	11.850,000	6.039.343	36	16:51:49	
	COSTB	-	-	48hs.	-	-	-	-	12.860,500	12.860,500	-	-	-	-		
	COSTC	-	-	48hs.	-	-	-	-	11,762	11,762	-	-	-	-		
	COSTD	13,350	4,70	48hs.	5	9,500	-	-	13,350	12,750	13,350	13,350	27	1	11:34:46	
	CRM	13.045,000	3,48	48hs.	-	-	-	-	13.048,000	12.605,500	12.370,500	13.083,000	8.274.104	154	16:41:36	
	CRMB	-	-	48hs.	-	-	-	-	6.698,500	6.698,500	-	-	-	-		
	CRMC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	CRMD	-	-	48hs.	-	-	14,000	28	11,250	11,250	-	-	-	-		
	CSCO	8.990,000	2,97	48hs.	30	8.200,000	11.330,000	50	8.990,500	8.730,000	8.640,000	9.006,000	48.682.625	325	16:58:37	
	CSCOD	10,250	2,50	48hs.	14	9,020	10,300	7	10,250	10,000	10,250	10,300	144	3	13:58:10	
	CVX	16.670,000	2,41	48hs.	16	16.536,000	18.000,000	16	16.776,500	16.276,500	15.680,000	16.800,000	93.888.310	757	16:58:54	
	CVX.B	-	-	48hs.	-	-	-	-	11.996,000	11.996,000	-	-	-	-		
	CVXC	-	-	48hs.	-	-	-	-	-	10,852	-	-	-	-		
	CVXD	18,000	-1,09	48hs.	30	17,000	18,500	5	18,000	18,200	17,500	18,500	2.937	25	16:56:35	
	CX	6.515,000	5,76	48hs.	6.300	6.473,500	6.564,000	1	-	6.160,000	6.361,500	6.588,000	859.782	19	15:51:59	
	CXC	-	-	48hs.	-	-	-	-	7,073	7,073	-	-	-	-		
	DD	13.148,000	3,97	48hs.	-	-	-	-	13.148,000	12.645,500	12.400,000	13.148,500	571.714	10	15:45:54	
	DDC	-	-	48hs.	-	-	-	-	13,708	13,708	-	-	-	-		
	DDD	-	-	48hs.	-	-	-	-	14,784	14,784	-	-	-	-		
	DE	8.550,000	3,70	48hs.	800	7.180,000	9.011,000	3	8.612,000	8.244,500	8.245,000	8.614,000	28.940.632	227	16:58:56	
	DEB	-	-	48hs.	-	-	-	-	9.857,000	9.857,000	-	-	-	-		
	DEC	-	-	48hs.	-	-	-	-	'0,745	'0,745	-	-	-	-		
	DED	-	-	48hs.	-	-	10,000	172	10,000	10,000	-	-	-	-		
	DEO	22.073,000	2,01	48hs.	1	20.832,000	-	-	22.013,000	21.636,500	21.000,000	22.073,000	108.635.007	223	16:57:27	
	DEOC	-	-	48hs.	-	-	-	-	2,773	2,773	-	-	-	-		
	DESP	7.856,000	7,23	48hs.	2	6.350,000	12.250,000	2	7.963,500	7.326,000	7.064,500	7.999,000	27.336.454	368	16:58:01	
	DESPC	-	-	48hs.	-	-	-	-	13,400	13,400	-	-	-	-		
	DESPD	8,600	1,17	48hs.	-	-	15,000	11	8,600	8,500	8,500	8,900	165	6	16:04:37	
	DIA	17.158,500	4,27	48hs.	2	8.030,000	17.250,000	7	16.990,500	16.455,000	16.236,500	17.158,500	821.938.532	1.969	16:58:37	
	DIAB	-	-	48hs.	-	-	-	-	13.586,000	13.586,000	-	-	-	-		
	DIAC	-	-	48hs.	-	-	-	-	-	16,637	-	-	-	-		
	DIAD	17,500	-2,23	48hs.	7	17,500	18,000	137	17,600	17,900	17,500	18,050	9.253	47	16:54:31	
	DISN	7.164,500	4,72	48hs.	1	6.980,000	7.250,000	2	7.155,000	6.841,000	6.700,000	7.170,000	380.875.065	2.040	16:59:58	
	DISNB	-	-	48hs.	-	-	-	-	6.092,000	6.092,000	-	-	-	-		
	DISND	7,740	5,73	48hs.	10	6,810	7,900	27	7,740	7,320	7,500	7,890	6.744	65	16:57:01	
	DJN3B	-	-	48hs.	-	-	-	-	-	1.083,000	-	-	-	-		
	DJN3C	-	-	48hs.	-	-	-	-	1,330	1,330	-	-	-	-		
	DJN3D	-	-	48hs.	-	-	-	-	1,315	1,315	-	-	-	-		
	DJNJ2	-	-	48hs.	-	-	-	-	815,000	815,000	-	-	-	-		
	DJNJ3	1.020,000	3,03	48hs.	75	990,000	-	-	1.020,000	990,000	1.020,000	1.020,000	55.080	3	15:35:48	
	DOCU	2.040,000	9,67	48hs.	-	-	-	-	2.040,000	1.860,000	1.767,500	2.050,000	17.369.475	121	16:52:58	
	DOCUC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	DOCUD	-	-	48hs.	50	1,700	-	-	2,330	2,330	-	-	-	-		
	DOW	7.871,000	'0,91	48hs.	5	7.800,000	7.990,000	9	7.885,500	7.800,000	7.691,500	7.974,000	3.319.322	48	16:33:55	
	DOWD	-	-	48hs.	10	7,100	-	-	8,800	8,800	-	-	-	-		
	DTEA	-	-	48hs.	-	-	-	-	-	'0,010	-	-	-	-		
	DTEAC	-	-	48hs.	-	-	-	-	1,696	1,696	-	-	-	-		
	DTEAD	-	-	48hs.	-	-	-	-	1,056	1,056	-	-	-	-		
	E	7.342,000	1,01	48hs.	-	-	-	-	7.342,000	7.268,000	7.342,000	7.342,000	7.342	1	13:32:39	
	EA	9.044,000	1,56	48hs.	3	8.600,000	9.250,000	15	9.044,000	8.904,500	8.790,500	9.200,000	4.344.739	80	16:58:31	
	EAD	-	-	48hs.	10	7,910	-	-	9,300	9,300	-	-	-	-		
	EBAY	19.600,000	5,00	48hs.	4	13.100,000	19.800,000	6	19.600,000	18.666,500	18.000,000	19.600,000	5.519.467	52	16:52:40	
	EBAYD	20,300	-0,97	48hs.	10	17,600	24,800	1	20,300	20,500	20,300	20,300	81	1	14:14:21	
	EBR	31.360,000	7,59	48hs.	-	-	36.000,000	3	31.360,000	29.147,000	30.671,000	31.360,000	807.608	8	16:16:22	
	EBRD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EC	-	-	48hs.	-	-	-	-	-	7,693	-	-	-	-		
	EEM	7.220,500	1,69	48hs.	-	-	-	-	7.364,500	7.100,500	7.000,000	7.439,000	39.014.348	322	16:58:03	
	EEMC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EEMD	7,600	-5,00	48hs.	13	7,000	8,950	120	7,750	8,000	7,600	8,000	914	7	16:39:17	
	EFX	12.872,000	3,94	48hs.	-	-	13.165,000	1	12.867,500	12.383,500	12.774,000	13.078,000	835.954	7	15:55:24	
	EFXC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EFXD	-	-	48hs.	-	-	-	-	11,326	11,326	-	-	-	-		
	ELP	-	-	48hs.	1.600	26.367,500	27.062,500	1.600	-	22.781,000	-	-	-	-		
	ELPC	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	ELPD	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	EOAN	-	-	48hs.	-	-	-	-	-	341,121	-	-	-	-		
	EOANB	-	-	48hs.	-	-	-	-	399,000	399,000	-	-	-	-		
	ERIC	2.567,000	4,09	48hs.	2	2.563,500	2.523,000	3	-	2.466,000	2.415,500	2.647,000	26.775.246	292	16:58:36	
	ERICC	-	-	48hs.	-	-	-	-	3,475	3,475	-	-	-	-		
	ERJ	17.590,000	4,22	48hs.	-	-	22.200,000	1	17.590,000	16.877,000	17.000,000	17.590,000	2.563.557	30	16:18:00	
	ERJD	-	-	48hs.	10	4,100	-	-	18,500	18,500	-	-	-	-		
	ETSY	4.724,000	1,60	48hs.	98	4.100,000	4.724,000	144	4.673,000	4.649,500	4.585,000	4.800,000	4.888.408	58	16:49:14	
	ETSYD	5,100	-	48hs.	25	2,400	6,750	60	5,100	5,100	5,100	5,100	31	1	15:31:22	
	EWZ	15.575,500	2,14	48hs.	80	14.500,000	19.000,000	22	15.579,500	15.248,000	15.248,000	15.946,500	210.988.785	315	16:54:36	
	EWZC	-	-	48hs.	-	-	-	-	16,200	16,200	-	-	-	-		
	EWZD	16,250	-	48hs.	5	13,400	23,000	4	16,250	16,250	16,250	17,100	2.848	8	16:46:02	
	F	10.010,000	4,70	48hs.	-	-	13.500,000	10	10.094,500	9.560,000	9.540,000	10.100,000	56.695.709	420	16:55:58	
	F.B	-	-	48hs.	-	-	-	-	-	-	-	-	-	-		
	FCX	11.300,000	2,34	48hs.	1	5.100,000	-	-	11.300,000	11.041,500	11.034,000	11.462,000	1.326.510	21	16:57:37	
	FCXC	-	-	48hs.	-	-	-	-	1,766	1,766	-	-	-	-		
	FCXD	-	-	48hs.	-	-	16,000	13	11,900	11,900	-	-	-	-		
	FD	10,500	-5,40	48hs.	10	10,500	11,000	51	10,500	11,100	10,400	11,100	1.107	9	12:37:56	
	FDX	24.200,000	2,14	48hs.	-	-	31.000,000	2	24.200,000	23.691,500	23.300,000	24.200,000	767.977	16	16:28:38	
	FDXB	-	-	48hs.	-	-	-	-	5.006,000	5.006,000	-	-	-	-		
	FDXC	-	-	48hs.	-	-	-	-	-	29,288	-	-	-	-		
	FDXD	-	-	48hs.	-	-	30,000	11	25,000	25,000	-	-	-	-		
	FMX	19.305,000	1,51	48hs.	-	-	-	-	19.305,000	19.016,000	19.147,500	19.411,000	670.736	5	14:58:33	
	FMX.B	-	-	48hs.	-	-	-	-	15.448,000	15.448,000	-	-	-	-		
	FMXC	-	-	48hs.	-	-	-	-	'0,884	'0,884	-	-	-	-		
	FMXD	-	-	48hs.	-	-	-	-	12,537	12,537	-	-	-	-		
